taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3123781	Vernonia Schreb.	3123781	Vernonia Schreb.	2	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Vernonia	3123781			NE
9622815	Distimake digitatus (Spreng.) A.R.Simões & Staples	9622815	Distimake digitatus (Spreng.) A.R.Simões & Staples	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Convolvulaceae	2389	Distimake	7324349	Distimake digitatus	9622815	NE
5295106	Smilax polyantha Griseb.	5295106	Smilax polyantha Griseb.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Liliales	1172	Smilacaceae	7702	Smilax	2740627	Smilax polyantha	5295106	NE
4221673	Praxelis clematidea (Griseb.) R.M.King & H.Rob.	4221673	Praxelis clematidea (Griseb.) R.M.King & H.Rob.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Praxelis	8111301	Praxelis clematidea	4221673	NE
4183383	Ocotea corymbosa (Meisn.) Mez	4175702	Mespilodaphne corymbosa Meisn.	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Laurales	407	Lauraceae	6688	Mespilodaphne	7304101	Mespilodaphne corymbosa	4175702	LC
5354997	Machaerium acutifolium Vogel	5354997	Machaerium acutifolium Vogel	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Machaerium	2959589	Machaerium acutifolium	5354997	LC
5355439	Ormosia arborea (Vell.) Harms	5355439	Ormosia arborea (Vell.) Harms	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Ormosia	2960439	Ormosia arborea	5355439	LC
6045891	Pera glabrata (Schott) Poepp. ex Baill.	6045891	Pera glabrata (Schott) Poepp. ex Baill.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Peraceae	4896765	Pera	3231319	Pera glabrata	6045891	LC
5392203	Pterocaulon lanatum Kuntze	5392203	Pterocaulon lanatum Kuntze	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Pterocaulon	3106645	Pterocaulon lanatum	5392203	NE
2899117	Palicourea croceoides Ham.	2899117	Palicourea croceoides Ham.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Palicourea	2898662	Palicourea croceoides	2899117	NE
5619128	Sida cerradoensis Krapov.	5619128	Sida cerradoensis Krapov.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Malvaceae	6685	Sida	3152100	Sida cerradoensis	5619128	NE
7303996	Davilla rugosa Poir.	7303996	Davilla rugosa Poir.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Dilleniales	947	Dilleniaceae	2511	Davilla	3234608	Davilla rugosa	7303996	NE
3074822	Microstachys daphnoides (Mart.) Müll.Arg.	11106089	Microstachys daphnoides (Mart.) F.Dietr.	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Microstachys	3074584	Microstachys daphnoides	11106089	NE
5392233	Pterocaulon rugosum (Vahl) Malme	5392233	Pterocaulon rugosum (Vahl) Malme	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Pterocaulon	3106645	Pterocaulon rugosum	5392233	NE
