"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Poaceae","Chusquea","longispiculata","L.G.Clark","POACEAE Chusquea longispiculata L.G.Clark","PMSP013274","GBIF","PMSP","Summa, J.L.","6","Native","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/1/32/74/pmsp00013274.dzi","Parque Estadual do Jurupará, beira de estrada."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Poaceae","Paspalum","plicatulum","Michx.","POACEAE Paspalum plicatulum Michx.","002319","GBIF","HUFABC","Barretto, E.H.P.","2185","Native","Bronze","Bronze","https://images.cria.org.br/viewer/HUFABC002319","Anhanguera, Serbom., Campo."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Polygalaceae","Senega","paniculata","(L.) J.F.B.Pastore & J.R.Abbott","POLYGALACEAE Senega paniculata (L.) J.F.B.Pastore & J.R.Abbott","SPSF00019498","Splink","SPSF",,"595","Native","Ouro","Ouro",,"Parque Estadual do Jurupará."
"PARQUE ESTADUAL JURUPARÁ","Ferns and Lycophytes","Polypodiaceae","Serpocaulon","catharinae","(Langsd. & Fisch.) A.R. Sm.","POLYPODIACEAE Serpocaulon catharinae (Langsd. & Fisch.) A.R. Sm.","163133","GBIF","BHCB","Salino, A.","15654","Native","Bronze","Bronze",,"Reserva Votorantim, Curso Taxonomia de Campo USP/ESALQ - UNICAMP. Complexo Juquiá, Trilha do Chagas, UHE Fumaça. Floresta Ombrófila Densa à margem esquerda do Rio Juquiá."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Primulaceae","Ardisia","guianensis","(Aubl.) Mez","PRIMULACEAE Ardisia guianensis (Aubl.) Mez","293122","GBIF","SP","Pastore, J.A.","612","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Primulaceae","Myrsine","hermogenesii","(Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","PRIMULACEAE Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.","SPSF00019284","Splink","SPSF",,"639","Native","Ouro","Ouro",,"Parque Estadual de Jurupara, região de Ribeirão do Mico"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Primulaceae","Myrsine","umbellata","Mart.","PRIMULACEAE Myrsine umbellata Mart.","SPSF00044180","Splink","SPSF",,"843","Native","Bronze","Ouro",,"Parque Estadual de Jurupará, Base roda D´Água."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Primulaceae","Myrsine","venosa","A.DC.","PRIMULACEAE Myrsine venosa A.DC.","SPSF00019495","Splink","SPSF",,"592","Native","Ouro","Ouro",,"Parque Estadual Jurupara, Inicio da estrada do Morro caminho p/ o Parque"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Primulaceae","Stylogyne","lhotzkyana","(A.DC.) Mez","PRIMULACEAE Stylogyne lhotzkyana (A.DC.) Mez","287927","GBIF","SP","Pastore, J.A.","627","Native","Bronze","Ouro",,"Parque Estadual de Jurupará, caminho para a Fazenda Tucano"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rosaceae","Eriobotrya","japonica","(Thunb.) Lindl.","ROSACEAE Eriobotrya japonica (Thunb.) Lindl.",,"GBIF",,,,"Naturalized","Latão","Bronze",,
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rosaceae","Prunus","myrtifolia","(L.) Urb.","ROSACEAE Prunus myrtifolia (L.) Urb.","SPSF00019227","Splink","SPSF",,"612","Native","Prata","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rosaceae","Rubus","urticifolius","Poir.","ROSACEAE Rubus urticifolius Poir.","SPF00107369","Splink","SPF",,"771","Native","Ouro","Ouro",,"Parque Estadual do Jurupará"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Chomelia","brasiliana","A.Rich.","RUBIACEAE Chomelia brasiliana A.Rich.","SPSF00044196","Splink","SPSF",,"859","Native","Latão","Ouro",,"Parque Estadual de Jurupará, Base roda D´Água."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Coccocypselum","hasslerianum","Chodat","RUBIACEAE Coccocypselum hasslerianum Chodat","SPSF00019234","Splink","SPSF",,"770","Native","Bronze","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
