"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade","Já listada"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Erythroxylaceae","Erythroxylum","anguifugum","Mart.","ERYTHROXYLACEAE Erythroxylum anguifugum Mart.","MBM110292","Splink","MBM","Pastore, U.","56","Native","Bronze","High","Reserva Florestal Morro do Diabo - Sul.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Euphorbiaceae","Acalypha","digynostachya","Baill.","EUPHORBIACEAE Acalypha digynostachya Baill.","UEC135406","Splink","UEC","Franco, G.A.D.C.","1321","Native","Ouro","High","Parque Estadual do Morro do Diabo, trilha da subida","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Euphorbiaceae","Actinostemon","concepcionis","(Chodat & Hassl.) Hochr.","EUPHORBIACEAE Actinostemon concepcionis (Chodat & Hassl.) Hochr.","299972","Splink","SP","Duncam, A.","50","Native","Ouro","High","Parque Estadual Morro do Diabo, Trilha do Morro do Diabo.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Euphorbiaceae","Actinostemon","concolor","(Spreng.) Müll.Arg.","EUPHORBIACEAE Actinostemon concolor (Spreng.) Müll.Arg.","SP0299974","Splink","SP","Silva, J.B.","27","Native","Ouro","High","Parque Estadual Morro do Diabo, Trilha do Morro do Diabo.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Euphorbiaceae","Actinostemon","klotzschii","(Didr.) Pax","EUPHORBIACEAE Actinostemon klotzschii (Didr.) Pax","PEUFR051428","Splink","PEUFR","Faria, H.H.","38","Native","Bronze","High","Parque Estadual do Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Euphorbiaceae","Alchornea","glandulosa","(Casar.) Secco","EUPHORBIACEAE Alchornea glandulosa subsp. iricurana (Casar.) Secco","43235","GBIF","UEC","Leitao Filho, H.F.","18490","Native","Ouro","High","Reserva Florestal do Morro do Diabo.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Euphorbiaceae","Bia","alienata","Didr.","EUPHORBIACEAE Bia alienata Didr.","PMSP007917","GBIF","PMSP","Pastore, J.A.","567","Native","Bronze","High","Parque Estadual do Morro do Diabo, etrada do 7000, margem do caminho.","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Euphorbiaceae","Croton","floribundus","Spreng.","EUPHORBIACEAE Croton floribundus Spreng.","UEC143582","Splink","UEC","Tamashiro, J.Y.","18809","Native","Ouro","High","Reserva do Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Euphorbiaceae","Croton","rottlerifolius","Baill.","EUPHORBIACEAE Croton rottlerifolius Baill.","SP0279734","Splink","SP","Franco, G.A.D.C.","1322","Native","Ouro","High","Parque Estadual Morro do Diabo, trilha da subida, mata natural","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Euphorbiaceae","Croton","tricolor","Klotzsch ex Baill.","EUPHORBIACEAE Croton tricolor Klotzsch ex Baill.","SP0477148","Splink","SP","Caruzo, M.B.R.","87","Native","Ouro","High","Parque Estadual Morro do Diabo, Estrada do Engenheiro Bráulio, próximo a antiga estrada de ferro. Mata mesófila semidecídua com cereus como elementos de destaque. Beira de mata","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Euphorbiaceae","Croton","urucurana","Baill.","EUPHORBIACEAE Croton urucurana Baill.","SP0234575","Splink","SP","Albernaz, A.L.K.M.","s.n.","Native","Ouro","High","Parque Estadual Morro do Diabo, região de Tolosa","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Euphorbiaceae","Dalechampia","stipulacea","Müll.Arg.","EUPHORBIACEAE Dalechampia stipulacea Müll.Arg.","44994","GBIF","UEC","Tamashiro, J.Y.","18801","Native","Ouro","High","Reserva Morro do Diabo","Não"
"PARQUE ESTADUAL MORRO DO DIABO","Angiosperms","Euphorbiaceae","Euphorbia","hirta","L.","EUPHORBIACEAE Euphorbia hirta L.","SP0447104","Splink","SP","Pastore, M.","269","Native","Ouro","High","Parque Estadual Morro do Diabo, Próximo à hospedaria","Não"
