"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaryllidaceae","Hippeastrum","blossfeldiae","(Traub & J.L.Doran) Van Scheepen","AMARYLLIDACEAE Hippeastrum blossfeldiae (Traub & J.L.Doran) Van Scheepen","251766","GBIF","SP","Mamede, M.C.H.","476","Native","Bronze","High",,"Estação Ecológica Juréia-Itatins, Serra da Juréia, caminho do Imperador, ca. 5km da balsa do Rio Una, restinga"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Amaryllidaceae","Hippeastrum","reticulatum","(L'Hér.) Herb.","AMARYLLIDACEAE Hippeastrum reticulatum (L'Hér.) Herb.","269128","GBIF","SP","Cordeiro, I.","1362","Native","Bronze","High",,"Estação Ecológica Juréia-Itatins, Serra da Juréia, mata pluvial de montana, caminho do Imperador"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Anacardiaceae","Anacardium","occidentale","L.","ANACARDIACEAE Anacardium occidentale L.","309074","GBIF","SP","Favero, O.A.","661","Native","Prata","Medium",,"Estação Ecológica Juréia-Itatins"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Anacardiaceae","Schinus","rhoifolia","Mart.","ANACARDIACEAE Schinus rhoifolia Mart.","179892","GBIF","SP","Fortes, A.M.","3","Native","Ouro","Low",,"Parque Estadual da Ilha do Cardoso"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","309073","GBIF","SP","Favero, O.A.","258","Native","Prata","Medium",,"Estação Ecológica Juréia-Itatins, Caminho do Grajaúna para o Rio Verde"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Anacardiaceae","Spondias",,"L.","ANACARDIACEAE Spondias L.","309077","GBIF","SP","Favero, O.A.","611",,"Latão","Medium",,"Estação Ecológica Juréia-Itatins, Cachoeira do Guilherme no quintal de Dona Maricota"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Angiosperms","Anacardiaceae","Tapirira","guianensis","Aubl.","ANACARDIACEAE Tapirira guianensis Aubl.","SPF00125897","Splink","SPF",,"81","Native","Bronze","High",,"Parque Estadual da Ilha do Cardoso, Estrada da Captação, restinga, solo arenoso."
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Ferns and Lycophytes","Anemiaceae","Anemia","ferruginea","(Christ) Mickel","ANEMIACEAE Anemia ferruginea var. ahenobarba (Christ) Mickel","04817715","GBIF","NY","Prado, J.","366","Native","Latão","Low",,"Trilha do Imperador. Reserva Ecológica de Juréia"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Ferns and Lycophytes","Anemiaceae","Anemia","mandioccana","Raddi","ANEMIACEAE Anemia mandioccana Raddi","386756","GBIF","MBM","Prado, J.","332","Native","Ouro","High","https://images.cria.org.br/viewer/MBM386756","Estação Ecológica Juréia-Itatins"
"ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE","Ferns and Lycophytes","Anemiaceae","Anemia","phyllitidis","(L.) Sw.","ANEMIACEAE Anemia phyllitidis (L.) Sw.","386754","GBIF","MBM","Prado, J.","360","Native","Ouro","High","https://images.cria.org.br/viewer/MBM386754","Estação Ecológica Juréia-Itatins, trilha para o campo do alto do morro próximo ao alojamento."
