"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","fluminensis","Vell.","RUBIACEAE Psychotria fluminensis Vell.","208240","GBIF","UEC","Dutra, L.L.","291","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba, Caminho da Bela Vista"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","hastisepala","Müll.Arg.","RUBIACEAE Psychotria hastisepala Müll.Arg.","208217","GBIF","UEC","Dutra, L.L.","009","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Estrada do Taquaruçu"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","leiocarpa","Cham. & Schltdl.","RUBIACEAE Psychotria leiocarpa Cham. & Schltdl.","RB01475262","GBIF","RB","Dutra, L.L.","125","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha da Comunidade"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","mima","Standl.","RUBIACEAE Psychotria mima Standl.","719885","GBIF","NY","Santos-Neta, A.C.","3","Native","Ouro","Low","Paranapiacaba, Trilha do Jipeiros"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","nemorosa","Gardner","RUBIACEAE Psychotria nemorosa Gardner","208185","GBIF","UEC","Giaquinto, C.B.","40","Native","Ouro","High","Brasil, São Paulo, Santo André: Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Estrada da Bela Vista."
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","nuda","(Cham. & Schltdl.) Wawra","RUBIACEAE Psychotria nuda (Cham. & Schltdl.) Wawra","153465","GBIF","UEC","Dutra, L.L.","314","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba, Estrada do Taquarussu"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","pubigera","Schltdl.","RUBIACEAE Psychotria pubigera Schltdl.","UEC192438","Splink","UEC",,"092","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba. tRILHA DA cOMUNIDADE"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","stachyoides","Benth.","RUBIACEAE Psychotria stachyoides Benth.","RB01480944","GBIF","RB","Dutra, L.L.","309","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba, Estrada do Taquarussu"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Psychotria","suterella","Müll.Arg.","RUBIACEAE Psychotria suterella Müll.Arg.","UEC191813","Splink","UEC",,"03","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha das Hortências"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Richardia","brasiliensis","Gomes","RUBIACEAE Richardia brasiliensis Gomes","UEC184430","Splink","UEC",,"252","Native","Bronze","Low","Parque Nacional Municipal Nascentes de Paranapiacaba, próximo à entrada do Núcleo d'Água."
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Rudgea","gardenioides","(Cham.) Müll.Arg.","RUBIACEAE Rudgea gardenioides (Cham.) Müll.Arg.","497739","GBIF","SP","Lima, M.E.L.","1268","Native","Bronze","High","Parque Natural Municipal Nascentes de Paranapiacaba. Trilha da Comunidade"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rubiaceae","Rudgea","jasminoides","(Benth.) Zappi","RUBIACEAE Rudgea jasminoides subsp. corniculata (Benth.) Zappi","UEC192432","Splink","UEC",,"091","Native","Ouro","High","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha da Comunidade"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Rutaceae","Esenbeckia","grandiflora","Mart.","RUTACEAE Esenbeckia grandiflora Mart.","SPSF00044695","Splink","SPSF",,"605","Native","Bronze","High","Parque Natural Municipal Nascentes do Paranapiacaba."
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Sapindaceae","Allophylus","petiolulatus","Radlk.","SAPINDACEAE Allophylus petiolulatus Radlk.","719876","GBIF","NY","Silva, C.","21","Native","Ouro","Low","Suborefeitura de Paranapiacaba e Parque Andreense, Pq. Nascentes de Paranapiacaba, estrada do Taquaruçu."
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Sapindaceae","Cupania","oblongifolia","Mart.","SAPINDACEAE Cupania oblongifolia Mart.","SPSF00044707","Splink","SPSF",,"618","Native","Bronze","High","Parque Natural Municipal Nascentes do Paranapiacaba."
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Sapindaceae","Paullinia","carpopoda","Cambess.","SAPINDACEAE Paullinia carpopoda Cambess.","RBR00035384","Splink","RBR",,"8147","Native","Ouro","Low","Paranapiacaba, trilha da Pontinha"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Sapotaceae","Chrysophyllum","flexuosum","Mart.","SAPOTACEAE Chrysophyllum flexuosum Mart.","719858","GBIF","NY","Santos, L.C.","13","Native","Ouro","Low","Subprefeitura de Paranapiacaba e Parque Andreense, Pq. Nascentes de Paranpiacaba, trilha da Comunidade"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Schoepfiaceae","Schoepfia","brasiliensis","A.DC.","SCHOEPFIACEAE Schoepfia brasiliensis A.DC.","514882","GBIF","SP","Lima, M.E.L.","1748","Native","Bronze","High","Parque Natural Municipal Nascentes de Paranapiacaba, Trilha da Comunidade"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Ferns and Lycophytes","Selaginellaceae","Selaginella",,"P.Beauv.","SELAGINELLACEAE Selaginella P.Beauv.","P01593446","Reflora","PC","Rosa, N.A.","3885",,"Ouro","Medium","Reserva Biológica do alto da serra Paranapiacaba"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Siparunaceae","Siparuna","brasiliensis","(Spreng.) A.DC.","SIPARUNACEAE Siparuna brasiliensis (Spreng.) A.DC.","PMSP013034","GBIF","PMSP","Santos, L.C.","21","Native","Ouro","Low","Paranapiacaba, trilha do Mirante"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Smilacaceae","Smilax","campestris","Griseb.","SMILACACEAE Smilax campestris Griseb.","442455","GBIF","SP","Villagra, B.L.P.","324","Native","Prata","High","Parque Natural Municipal Nascentes de Paranapiacaba. Água Fria"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Smilacaceae","Smilax","fluminensis","Steud.","SMILACACEAE Smilax fluminensis Steud.","442420","GBIF","SP","Villagra, B.L.P.","325","Native","Prata","High","Parque Natural Municipal Nascentes de Paranapiacaba, Olho d'Água"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Smilacaceae","Smilax","spicata","Vell.","SMILACACEAE Smilax spicata Vell.","442434","GBIF","SP","Villagra, B.L.P.","326","Native","Prata","High","Parque Natural Municipal Nascentes de Paranapiacaba. Água Fria"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA",,"Solanaceae","Athenaea","altoserranae","I.M.C. Rodrigues & Stehmann","SOLANACEAE Athenaea altoserranae I.M.C. Rodrigues & Stehmann","204716","GBIF","SP","Guerra, T.P.","90",,"Ouro","Medium","Reserva Biológica Alto da Serra de Paranapiacaba"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Solanaceae","Athenaea","fasciculata","(Vell.) I.M.C. Rodrigues & Stehmann","SOLANACEAE Athenaea fasciculata (Vell.) I.M.C. Rodrigues & Stehmann","249770","GBIF","SP","Kirizawa, M.","2541","Native","Ouro","Medium","Reserva Biológica Alto da Serra de Paranapiacaba"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Solanaceae","Athenaea","picta","(Mart.) Sendtn.","SOLANACEAE Athenaea picta (Mart.) Sendtn.","249788","GBIF","SP","Kirizawa, M.","2559","Native","Ouro","Medium","Reserva Biológica Alto da Serra de Paranapiacaba"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Solanaceae","Aureliana","fasciculata","(Vell.) Sendtn.","SOLANACEAE Aureliana fasciculata var. fasciculata (Vell.) Sendtn.","145016","GBIF","BHCB","Rodrigues, I.M.C.","79",,"Latão","Low","Paranapiacaba, Caminho da Bela Vista, Parque Ecológico Municipal das Nascentes de Paranapiacaba. Floresta Ombrófila Densa, beira de estrada. Coletada no caminho para as 2 torres. Material para sílica."
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Solanaceae","Aureliana","glomuliflora","Sendtn.","SOLANACEAE Aureliana glomuliflora Sendtn.","145020","GBIF","BHCB","Rodrigues, I.M.C.","83",,"Latão","Low","Paranapiacaba, Caminho da Bela Vista, Parque Ecológico Municipal das Nascentes de Paranapiacaba. Floresta Ombrófila Densa, beira de estrada. No retorno para a guarita. Material para sílica."
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Solanaceae","Capsicum","schottianum","Sendtn.","SOLANACEAE Capsicum schottianum Sendtn.","NY00719845","Splink","NY",,"8041","Native","Ouro","Low","Paranapiacaba, Trilha dos Jipeiros"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Solanaceae","Cestrum","bracteatum","Link & Otto","SOLANACEAE Cestrum bracteatum Link & Otto","440912","GBIF","SP","Santos, A.","83","Native","Bronze","Low","Parque Nascentes de Paranapiacaba, Núcleo Olho d'Água"
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Solanaceae","Dyssochroma","viridiflorum","(Sims) Miers","SOLANACEAE Dyssochroma viridiflorum (Sims) Miers","CORD00029110","GBIF","CORD","Barboza, G.E.","2518","Native","Ouro","Medium","Santo André, Reserva Biológica do Alto da Serra de Paranapiacaba, 800 m, en la trilha 17 próximo a trilha 4."
"PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","Angiosperms","Solanaceae","Solanum","bullatum","Vell.","SOLANACEAE Solanum bullatum Vell.","SPSF00044724","Splink","SPSF",,"635","Native","Prata","High","Parque Natural Municipal Nascentes do Paranapiacaba."
