"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Localidade","Já listada"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Anacardiaceae","Schinus","molle","L.","ANACARDIACEAE Schinus molle L.","138737223","GBIF","Observations","Gouvea Junior, E.V.",,"Native","Bronze","Low","Parque Ecológico do Tietê, SP","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Anacardiaceae","Schinus","terebinthifolia","Raddi","ANACARDIACEAE Schinus terebinthifolia Raddi","3170","Splink","HUMC","Castrisana, A.S.","013","Native","Latão","Low","C. de Souza, A.P.A Várzea, Estrada do Afia Faca Local ensolarado, beira do alagado, brejo.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Apiaceae","Petroselinum","crispum","(Mill.) Fuss","APIACEAE Petroselinum crispum (Mill.) Fuss","248","GBIF","BOTU","Tajiri, N.S.","3","Cultivated","Bronze","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Apocynaceae","Allamanda","blanchetii","A.DC.","APOCYNACEAE Allamanda blanchetii A.DC.","74087600","GBIF","Observations","Bernardes, L.",,"Native","Bronze","Low","Parque Ecológico do Tietê, São Paulo - SP, Brasil","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Apocynaceae","Araujia","sericifera","Brot.","APOCYNACEAE Araujia sericifera Brot.","HB000014622","Splink","HB","Gehrt, A.",,"Native","Bronze","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Apocynaceae","Asclepias","curassavica","L.","APOCYNACEAE Asclepias curassavica L.","202121387","GBIF","Observations","Garcia, H.A.",,"Native","Bronze","Low","Parque Ecológico do Tietê","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Apocynaceae","Gomphocarpus","physocarpus","E.Mey.","APOCYNACEAE Gomphocarpus physocarpus E.Mey.","147242865","GBIF","Observations","Gouvea Junior, E.V.",,"Naturalized","Bronze","Low","Parque Ecológico do Tietê, SP","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Apocynaceae","Himatanthus","drasticus","(Mart.) Plumel","APOCYNACEAE Himatanthus drasticus (Mart.) Plumel",,"GBIF",,,,"Native","Latão","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Apocynaceae","Oxypetalum","capitatum","Mart.","APOCYNACEAE Oxypetalum capitatum Mart.","SPSF00004155","Splink","SPSF","Pickel, D.B.",,"Native","Bronze","Low","Sítio Santo Estevão","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Apocynaceae","Plumeria","rubra","L.","APOCYNACEAE Plumeria rubra L.","143640119","GBIF","Observations","Gouvea Junior, E.V.",,"Cultivated","Bronze","Low","Parque Ecológico do Tietê, SP","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Araceae","Anthurium","scandens","(Aubl.) Engl.","ARACEAE Anthurium scandens (Aubl.) Engl.",,"GBIF",,,,"Native","Latão","Low",,"Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Araceae","Philodendron","obliquifolium","Engl.","ARACEAE Philodendron obliquifolium Engl.","245492124","GBIF","Observations","Mortara, M.",,"Native","Bronze","Low","Mogi das Cruzes - SP, Brasil","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Araceae","Pistia","stratiotes","L.","ARACEAE Pistia stratiotes L.","232968919","GBIF","Observations","Romano, P.",,"Native","Bronze","Low","Parque Ecológico do Tietê, São Paulo - SP, Brasil","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Araliaceae","Hydrocotyle","ranunculoides","L.f.","ARALIACEAE Hydrocotyle ranunculoides L.f.","3158","Splink","HUMC","Flavia",,"Native","Bronze","Low","A.P.A da Várzea do Rio Tietê Aquática á 400m da estrada.","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Gymnosperms","Araucariaceae","Araucaria","angustifolia","(Bertol.) Kuntze","ARAUCARIACEAE Araucaria angustifolia (Bertol.) Kuntze","240857594","GBIF","Observations","Oliveira, V.G.",,"Native","Bronze","Low","Parque Ecológico Mario do Canto - R. Cabrália Paulista, 100 - Estação, Itaquaquecetuba - SP, 08571-020, Brasil","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Arecaceae","Acrocomia","aculeata","(Jacq.) Lodd. ex Mart.","ARECACEAE Acrocomia aculeata (Jacq.) Lodd. ex Mart.","141616666","GBIF","Observations","Bernardes, L.",,"Native","Bronze","Low","Vila Santo Henrique, São Paulo - SP, Brasil","Não"
"ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO RIO TIETÊ","Angiosperms","Arecaceae","Caryota","urens","L.","ARECACEAE Caryota urens L.","74087602","GBIF","Observations","Bernardes, L.",,"Cultivated","Bronze","Low","Parque Ecológico do Tietê, São Paulo - SP, Brasil","Não"
