"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Chrysolaena","cognata","(Less.) Dematt.","ASTERACEAE Chrysolaena cognata (Less.) Dematt.","HUFABC002380","Splink","HUFABC",,"1257","Native","Ouro","Ouro",,"Parque Natural Municipal Fazenda do Carmo, campo."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Clibadium","armanii","(Balb.) Sch.Bip. ex O.E.Schulz","ASTERACEAE Clibadium armanii (Balb.) Sch.Bip. ex O.E.Schulz","PMSP001696","GBIF","PMSP","Garcia, R.J.F.","499","Native","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/0/16/96/pmsp00001696.dzi","Parque Ecológico da APA do Carmo, trilha 8"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Critoniopsis","quinqueflora","(Less.) H.Rob.","ASTERACEAE Critoniopsis quinqueflora (Less.) H.Rob.","29480","GBIF","SPSF","Romao, G.O.","633","Native","Bronze","Bronze",,"Parque Estadual da Serra do Mar Núcleo Curucutu. Floresta ribeirinha ao longo do Rio Mambu."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Cyrtocymura","scorpioides","(Lam.) H.Rob.","ASTERACEAE Cyrtocymura scorpioides (Lam.) H.Rob.","20590","GBIF","HRCB","Godoy, S.A.P.","560","Native","Ouro","Ouro",,"Parque Ecológico da apa do Carmo. Trilha do TABOR (número 4)"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Dasyphyllum","brasiliense","(Spreng.) Cabrera","ASTERACEAE Dasyphyllum brasiliense (Spreng.) Cabrera","HRCB020908","Splink","HRCB",,"686","Native","Ouro","Ouro",,"Parque Ecológico da APA do Carmo Trilha do campo de futebol, partingo da Av. Aricanduva"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Elephantopus","mollis","Kunth","ASTERACEAE Elephantopus mollis Kunth","2222","Splink","SINBIOTA",,,"Native","Latão","Bronze",,"Itaquera"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Eupatorium",,"L.","ASTERACEAE Eupatorium L.","HRJ00005814","GBIF","HRJ","Garcia, R.J.F.","504",,"Latão","Ouro",,"Parque Ecológico da APA do Carmo."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Heterocondylus","alatus","(Vell.) R.M.King & H.Rob.","ASTERACEAE Heterocondylus alatus (Vell.) R.M.King & H.Rob.","PMSP002371","GBIF","PMSP","Garcia, R.J.F.","671","Native","Ouro","Ouro","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/0/23/71/pmsp00002371.dzi","Parque Ecológico da APA do Carmo."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Mikania","glomerata","Spreng.","ASTERACEAE Mikania glomerata Spreng.","78685","GBIF","UEC","Godoy, S.A.P.","653","Native","Ouro","Ouro","https://images.cria.org.br/viewer/UEC162867","Parque Ecológico da APA do Carmo, Trilha do TABOR."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Mikania","hirsutissima","DC.","ASTERACEAE Mikania hirsutissima DC.","78684","GBIF","UEC","Godoy, S.A.P.","680","Native","Ouro","Ouro","https://images.cria.org.br/viewer/UEC162871","Parque Ecológico da APA do Carmo, Trilha do cmapo de futebol, partindo da Av. Aricanduva."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Mikania","lasiandrae","DC.","ASTERACEAE Mikania lasiandrae DC.","ICN00063608","Splink","ICN",,"601","Native","Ouro","Ouro",,"Parque Ecológico da APA do Carmo"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Moquiniastrum","polymorphum","(Less.) G. Sancho","ASTERACEAE Moquiniastrum polymorphum (Less.) G. Sancho","2224","Splink","SINBIOTA",,,"Native","Latão","Bronze",,"Itaquera"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Ophryosporus","freyreysii","(Thunb.) Baker","ASTERACEAE Ophryosporus freyreysii (Thunb.) Baker","78692","GBIF","UEC","Garcia, R.J.F.","686","Native","Ouro","Ouro","https://images.cria.org.br/viewer/UEC162892","Parque Ecológico da APA do Carmo, trilha partindo do campo do brejo em direção ao morro."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Piptocarpha","axillaris","(Less.) Baker","ASTERACEAE Piptocarpha axillaris (Less.) Baker","20909","GBIF","HRCB","Godoy, S.A.P.","693","Native","Ouro","Ouro",,"Parque Ecológico da APA do Carmo. Trilha do campo de futebol, partindo da Av. Aricanduva."
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Piptocarpha","oblonga","(Gardner) Baker","ASTERACEAE Piptocarpha oblonga (Gardner) Baker","HUNI00007088","Splink","HUNI",,"549","Native","Ouro","Ouro",,"Parque ecológico da APA do Carmo. Trilha 1 em direção ao TABOR"
"ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO","Angiosperms","Asteraceae","Pluchea","sagittalis","(Lam.) Cabrera","ASTERACEAE Pluchea sagittalis (Lam.) Cabrera","210562364","GBIF","Observations","Almeida, A.C.",,"Native","Bronze","Bronze",,"Gleba do Pêssego, São Paulo - SP, Brasil"
