"country","stateProvince","municipality","locality","latitude","longitude","loc.ideal","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","São Paulo","Caieiras","PARQUE ESTADUAL DA CANTAREIRA","-23.419930386467","-46.6906710650951","brazil_sao paulo_caieiras_parque estadual cantareira","brazil","sao paulo","caieiras","parque estadual da cantareira",NA,"locality","brazil_sao paulo_caieiras","brazil_sao paulo_caieiras",-23.37625726,-46.74483156,"county"
"Brazil","São Paulo","Guarulhos","PARQUE ESTADUAL DA CANTAREIRA","-23.3753466888055","-46.5107743263418","brazil_sao paulo_guarulhos_parque estadual cantareira","brazil","sao paulo","guarulhos","parque estadual da cantareira",NA,"locality","brazil_sao paulo_guarulhos","brazil_sao paulo_guarulhos",-23.40223932,-46.45462761,"county"
"Brazil","São Paulo","Mairiporã","PARQUE ESTADUAL DA CANTAREIRA","-23.4134152747087","-46.62586577715","brazil_sao paulo_mairipora_parque estadual cantareira","brazil","sao paulo","mairipora","parque estadual da cantareira",NA,"locality","brazil_sao paulo_mairipora_parque estadual cantareira","brazil_sao paulo_mairipora_pe cantareira",-23.417031,-46.637861,"locality"
"Brazil","São Paulo","São Paulo","PARQUE ESTADUAL DA CANTAREIRA","-23.4116884423626","-46.6159906591043","brazil_sao paulo_sao paulo_parque estadual cantareira","brazil","sao paulo","sao paulo","parque estadual da cantareira",NA,"locality","brazil_sao paulo_sao paulo_parque estadual cantareira","brazil_sao paulo_sao paulo_pe cantareira",-23.436334,-46.638625,"locality"
"Brazil","São Paulo","Capão Bonito","PARQUE ESTADUAL CARLOS BOTELHO","-24.1259963322956","-48.0494151820389","brazil_sao paulo_capao bonito_parque estadual carlos botelho","brazil","sao paulo","capao bonito","parque estadual carlos botelho",NA,"locality","brazil_sao paulo_capao bonito","brazil_sao paulo_capao bonito",-24.03890216,-48.28993485,"county"
"Brazil","São Paulo","São Miguel Arcanjo","PARQUE ESTADUAL CARLOS BOTELHO","-24.0656755632988","-47.9380674776878","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil","sao paulo","sao miguel arcanjo","parque estadual carlos botelho",NA,"locality","brazil_sao paulo_sao miguel arcanjo_parque estadual carlos botelho","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",-24.068723,-47.971617,"locality"
"Brazil","São Paulo","Sete Barras","PARQUE ESTADUAL CARLOS BOTELHO","-24.1600131697464","-47.9489258983933","brazil_sao paulo_sete barras_parque estadual carlos botelho","brazil","sao paulo","sete barras","parque estadual carlos botelho",NA,"locality","brazil_sao paulo_sete barras_parque estadual carlos botelho","brazil_sao paulo_sete barras_pe carlos botelho",-24.166173,-47.972686,"locality"
"Brazil","São Paulo","Tapiraí","PARQUE ESTADUAL CARLOS BOTELHO","-24.1189421382016","-47.8234302943501","brazil_sao paulo_tapirai_parque estadual carlos botelho","brazil","sao paulo","tapirai","parque estadual carlos botelho",NA,"locality","brazil_sao paulo_tapirai","brazil_sao paulo_tapirai",-24.00837668,-47.61905578,"county"
"Brazil","São Paulo","Ubatuba","PARQUE ESTADUAL DA ILHA ANCHIETA","-23.5424606928029","-45.063365281447","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil","sao paulo","ubatuba","parque estadual da ilha anchieta",NA,"locality","brazil_sao paulo_ubatuba_parque estadual ilha anchieta","brazil_sao paulo_ubatuba_pe ilha anchieta",-23.539998,-45.074064,"locality"
"Brazil","São Paulo","Osasco","PARQUE ESTADUAL DO JARAGUÁ","-23.465963388494","-46.7752256500891","brazil_sao paulo_osasco_parque estadual jaragua","brazil","sao paulo","osasco","parque estadual do jaragua",NA,"locality","brazil_sao paulo_osasco","brazil_sao paulo_osasco",-23.52890756,-46.78906391,"county"
