"","country","stateProvince","municipality","locality","loc","loc.correct","latitude","longitude","resolution.gazetteer","source"
"739","Brazil","São Paulo","Areias","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_areias_area protecao ambiental bacia paraiba sul","brazil_sao paulo_areias_apa bacia paraiba sul",-22.6186543024041,-44.7284892874307,"locality","cnuc_ibge"
"546","Brazil","São Paulo","Areias","APA SILVEIRAS","brazil_sao paulo_areias_apa silveiras","brazil_sao paulo_areias_apa silveiras",-22.7118836232828,-44.7601650724638,"locality","cnuc_ibge"
"1283","Brazil","São Paulo","Areias","APA SILVEIRAS","brazil_sao paulo_areias_area protecao ambiental silveiras","brazil_sao paulo_areias_apa silveiras",-22.7118836232828,-44.7601650724638,"locality","cnuc_ibge"
"3","Brazil","São Paulo","Arujá","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_aruja_apa bacia paraiba sul","brazil_sao paulo_aruja_apa bacia paraiba sul",-23.3581391513955,-46.3246603704878,"locality","cnuc_ibge"
"740","Brazil","São Paulo","Arujá","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_aruja_area protecao ambiental bacia paraiba sul","brazil_sao paulo_aruja_apa bacia paraiba sul",-23.3581391513955,-46.3246603704878,"locality","cnuc_ibge"
"98","Brazil","São Paulo","Arujá","PE DE ITABERABA","brazil_sao paulo_aruja_pe itaberaba","brazil_sao paulo_aruja_pe itaberaba",-23.3494739605504,-46.3434992354667,"locality","cnuc_ibge"
"835","Brazil","São Paulo","Arujá","PE DE ITABERABA","brazil_sao paulo_aruja_parque estadual itaberaba","brazil_sao paulo_aruja_pe itaberaba",-23.3494739605504,-46.3434992354667,"locality","cnuc_ibge"
"714","Brazil","São Paulo","Assis","EEC DE ASSIS","brazil_sao paulo_assis_eec assis","brazil_sao paulo_assis_eec assis",-22.5853281217673,-50.3857687992074,"locality","cnuc_ibge"
"1451","Brazil","São Paulo","Assis","EEC DE ASSIS","brazil_sao paulo_assis_estacao ecologica assis","brazil_sao paulo_assis_eec assis",-22.5853281217673,-50.3857687992074,"locality","cnuc_ibge"
"610","Brazil","São Paulo","Assis","FE DE ASSIS","brazil_sao paulo_assis_fe assis","brazil_sao paulo_assis_floresta estadual assis",-22.5972205668555,-50.4089618301708,"locality","cnuc_ibge"
"1347","Brazil","São Paulo","Assis","FE DE ASSIS","brazil_sao paulo_assis_floresta estadual assis","brazil_sao paulo_assis_floresta estadual assis",-22.5972205668555,-50.4089618301708,"locality","cnuc_ibge"
"474","Brazil","São Paulo","Atibaia","APA PIRACICABA JUQUERÍ-MIRIM AREA II","brazil_sao paulo_atibaia_apa piracicaba juqueri mirim area ii","brazil_sao paulo_atibaia_apa piracicaba juqueri mirim area ii",-23.0359868982779,-46.4351308021735,"locality","cnuc_ibge"
"1211","Brazil","São Paulo","Atibaia","APA PIRACICABA JUQUERÍ-MIRIM AREA II","brazil_sao paulo_atibaia_area protecao ambiental piracicaba juqueri mirim area ii","brazil_sao paulo_atibaia_apa piracicaba juqueri mirim area ii",-23.0359868982779,-46.4351308021735,"locality","cnuc_ibge"
"506","Brazil","São Paulo","Atibaia","APA REPRESA BAIRRO DA USINA","brazil_sao paulo_atibaia_apa represa bairro usina","brazil_sao paulo_atibaia_apa represa bairro usina",-23.090713105982,-46.6363380499758,"locality","cnuc_ibge"
"1243","Brazil","São Paulo","Atibaia","APA REPRESA BAIRRO DA USINA","brazil_sao paulo_atibaia_area protecao ambiental represa bairro usina","brazil_sao paulo_atibaia_apa represa bairro usina",-23.090713105982,-46.6363380499758,"locality","cnuc_ibge"
"554","Brazil","São Paulo","Atibaia","APA SISTEMA CANTAREIRA","brazil_sao paulo_atibaia_apa sistema cantareira","brazil_sao paulo_atibaia_apa sistema cantareira",-23.1232014240541,-46.5867069889878,"locality","cnuc_ibge"
"1291","Brazil","São Paulo","Atibaia","APA SISTEMA CANTAREIRA","brazil_sao paulo_atibaia_area protecao ambiental sistema cantareira","brazil_sao paulo_atibaia_apa sistema cantareira",-23.1232014240541,-46.5867069889878,"locality","cnuc_ibge"
"104","Brazil","São Paulo","Atibaia","MNE DA PEDRA GRANDE","brazil_sao paulo_atibaia_mne pedra grande","brazil_sao paulo_atibaia_monumento natural estadual pedra grande",-23.2036528041185,-46.5348072190977,"locality","cnuc_ibge"
"841","Brazil","São Paulo","Atibaia","MNE DA PEDRA GRANDE","brazil_sao paulo_atibaia_monumento natural estadual pedra grande","brazil_sao paulo_atibaia_monumento natural estadual pedra grande",-23.2036528041185,-46.5348072190977,"locality","cnuc_ibge"
"93","Brazil","São Paulo","Atibaia","PE DE ITAPETINGA","brazil_sao paulo_atibaia_pe itapetinga","brazil_sao paulo_atibaia_pe itapetinga",-23.1638964708998,-46.527431587365,"locality","cnuc_ibge"
"830","Brazil","São Paulo","Atibaia","PE DE ITAPETINGA","brazil_sao paulo_atibaia_parque estadual itapetinga","brazil_sao paulo_atibaia_pe itapetinga",-23.1638964708998,-46.527431587365,"locality","cnuc_ibge"
"236","Brazil","São Paulo","Atibaia","RPPN ECOWORLD","brazil_sao paulo_atibaia_rppn ecoworld","brazil_sao paulo_atibaia_rppn ecoworld",-23.1688379800131,-46.5328948625166,"locality","cnuc_ibge"
"973","Brazil","São Paulo","Atibaia","RPPN ECOWORLD","brazil_sao paulo_atibaia_reserva particular patrimonio natural ecoworld","brazil_sao paulo_atibaia_rppn ecoworld",-23.1688379800131,-46.5328948625166,"locality","cnuc_ibge"
"718","Brazil","São Paulo","Atibaia","RPPN RESERVA DO DADINHO","brazil_sao paulo_atibaia_rppn reserva dadinho","brazil_sao paulo_atibaia_rppn reserva dadinho",-23.1394487454484,-46.5072225611303,"locality","cnuc_ibge"
"1455","Brazil","São Paulo","Atibaia","RPPN RESERVA DO DADINHO","brazil_sao paulo_atibaia_reserva particular patrimonio natural reserva dadinho","brazil_sao paulo_atibaia_rppn reserva dadinho",-23.1394487454484,-46.5072225611303,"locality","cnuc_ibge"
"214","Brazil","São Paulo","Atibaia","RPPN RESERVA DO JACU","brazil_sao paulo_atibaia_rppn reserva jacu","brazil_sao paulo_atibaia_rppn reserva jacu",-23.2057752038714,-46.5395635075746,"locality","cnuc_ibge"
"951","Brazil","São Paulo","Atibaia","RPPN RESERVA DO JACU","brazil_sao paulo_atibaia_reserva particular patrimonio natural reserva jacu","brazil_sao paulo_atibaia_rppn reserva jacu",-23.2057752038714,-46.5395635075746,"locality","cnuc_ibge"
"174","Brazil","São Paulo","Atibaia","RPPN SÍTIO SOLAR DA MONTANHA","brazil_sao paulo_atibaia_rppn sitio solar montanha","brazil_sao paulo_atibaia_rppn sitio solar montanha",-23.2198838093912,-46.548463528868,"locality","cnuc_ibge"
"911","Brazil","São Paulo","Atibaia","RPPN SÍTIO SOLAR DA MONTANHA","brazil_sao paulo_atibaia_reserva particular patrimonio natural sitio solar montanha","brazil_sao paulo_atibaia_rppn sitio solar montanha",-23.2198838093912,-46.548463528868,"locality","cnuc_ibge"
"509","Brazil","São Paulo","Avaí","APA RIO BATALHA","brazil_sao paulo_avai_apa rio batalha","brazil_sao paulo_avai_apa rio batalha",-22.1871533489846,-49.3161918876219,"locality","cnuc_ibge"
"1246","Brazil","São Paulo","Avaí","APA RIO BATALHA","brazil_sao paulo_avai_area protecao ambiental rio batalha","brazil_sao paulo_avai_apa rio batalha",-22.1871533489846,-49.3161918876219,"locality","cnuc_ibge"
"400","Brazil","São Paulo","Avaré","APA CUESTA GUARANI","brazil_sao paulo_avare_apa cuesta guarani","brazil_sao paulo_avare_apa cuesta guarani",-23.2035768518629,-48.8380332958262,"locality","cnuc_ibge"
"1137","Brazil","São Paulo","Avaré","APA CUESTA GUARANI","brazil_sao paulo_avare_area protecao ambiental cuesta guarani","brazil_sao paulo_avare_apa cuesta guarani",-23.2035768518629,-48.8380332958262,"locality","cnuc_ibge"
"127","Brazil","São Paulo","Avaré","EEC DE AVARÉ","brazil_sao paulo_avare_eec avare","brazil_sao paulo_avare_eec avare",-23.0102055842613,-48.8193171252983,"locality","cnuc_ibge"
"864","Brazil","São Paulo","Avaré","EEC DE AVARÉ","brazil_sao paulo_avare_estacao ecologica avare","brazil_sao paulo_avare_eec avare",-23.0102055842613,-48.8193171252983,"locality","cnuc_ibge"
"202","Brazil","São Paulo","Avaré","RPPN SÃO LOURENÇO","brazil_sao paulo_avare_rppn sao lourenco","brazil_sao paulo_avare_rppn sao lourenco",-22.935441362373,-48.9501301387673,"locality","cnuc_ibge"
"939","Brazil","São Paulo","Avaré","RPPN SÃO LOURENÇO","brazil_sao paulo_avare_reserva particular patrimonio natural sao lourenco","brazil_sao paulo_avare_rppn sao lourenco",-22.935441362373,-48.9501301387673,"locality","cnuc_ibge"
"510","Brazil","São Paulo","Balbinos","APA RIO BATALHA","brazil_sao paulo_balbinos_apa rio batalha","brazil_sao paulo_balbinos_apa rio batalha",-21.8923195880868,-49.3328258251166,"locality","cnuc_ibge"
"1247","Brazil","São Paulo","Balbinos","APA RIO BATALHA","brazil_sao paulo_balbinos_area protecao ambiental rio batalha","brazil_sao paulo_balbinos_apa rio batalha",-21.8923195880868,-49.3328258251166,"locality","cnuc_ibge"
"4","Brazil","São Paulo","Bananal","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_bananal_apa bacia paraiba sul","brazil_sao paulo_bananal_apa bacia paraiba sul",-22.7466451971311,-44.3824535644153,"locality","cnuc_ibge"
