"Código de barras","Num. Tombo","Coleção","Família","Gênero","Táxon","Coletor","Num. Coleta","Data Coleta","Categoria Tipus","Determinador","Data Determinação","Tipo Coleção","Pais","Estado/Provincia","Cidade","Localidade","Latitude","Longitude","Unidade Conservação","Origem","Status"
"CEPEC00126092","CEPEC","CEPEC","ACANTHACEAE","Herpetacanthus","ACANTHACEAE Herpetacanthus longiflorus Moric.","F.B. Matos",1760,"//",,,"s. d.",,"Brasil",,"PORTO SEGURO","Parque Nacional do Pau Brasil. Interior da mata.",,,"Parque Nacional do Pau Brasil","nativa","NT"
"RB00741201","RB 561612","RB","ACANTHACEAE","Herpetacanthus","ACANTHACEAE Herpetacanthus longiflorus Moric.","A.M. Amorim",2531,"13/9/1998",,"S. Pice","s. d.",,"Brasil",,"Porto Seguro","Parque Nacional de Monte Pascoal. Àrea limite entre o PARNA e a Reserva Indígena Barra Velha, da tribo Pataxó.",,,"Parque Nacional Histórico do Monte Pascoal","nativa","NT"
"RB00886320",,"RB","ACANTHACEAE","Herpetacanthus","ACANTHACEAE Herpetacanthus macrophyllus Nees","W.C. Cardoso",158,"8/6/2012",,,"s. d.",,"Brasil",,"Cariacica","Reserva Biológica de Duas Bocas: Trilha da Represa Velha.","-20,2638888888888893","-40,4877777777777794","Reserva Biológica de Duas Bocas","Nativa","NE"
"VIES042198","VIES 42198","VIES","ACANTHACEAE","Herpetacanthus","ACANTHACEAE Herpetacanthus melancholicus Mart. ex Nees","Souza, T.;Alves-Araújo, A.,Sossai, B.G.",94,"2/4/2018",,"A. Idriunas","12/7/2018",,"Brasil",,"Conceição da Barra","Trilha da Lagoa Seca. Flona do Rio Preto",,,"Floresta Nacional do Rio Preto","Nativa","NE"
"RB00474898",330760,"RB","ACANTHACEAE","Herpetacanthus","ACANTHACEAE Herpetacanthus neesianus Indriunas & Kameyama","J.M.A. Braga",2294,"29/3/1995",,"C.Kameyama",,,"Brasil",,"Itatiaia","Taquaral, encosta a direita (descendo) do rio Campo Belo.","-22,25","-44,566666699999999","Parque Nacional do Itatiaia","Nativa","NE"
"RB01176861","RB 659855","RB","ACANTHACEAE","Herpetacanthus","ACANTHACEAE Herpetacanthus neesianus Indriunas & Kameyama","C. Baez",909,"27/8/2016",,"E.F. Guimarães",,,"Brasil",,"Campos dos Goytacazes","Trilha para o Pico da Aleluia. Mata de Galeria no Riacho da Aleluia.","-21,7841666","-41,6172223","Parque Estadual do Desengano","Nativa","NE"
"MBM326384",,"MBM","ACANTHACEAE","Hygrophila","ACANTHACEAE Hygrophila costata Nees","Hatschbach, G;Hatschbach, G.,Ribas, O.S.",79788,"8/2/2007",,"Kameyama, C.","28/5/2009",,"Brazil",,"Urubici","Salto Véu de Noiva",0,0,"Parque Nacional de São Joaquim","Nativa","NE"
"NY01552007",,"NY","ACANTHACEAE","Hygrophila","ACANTHACEAE Hygrophila costata Nees & T. Nees","C. A. Cid Ferreira",164,"10/8/1979",,"D. C. Wasshausen",2001,,"Brazil",,,"Ao longo do rio, margem direita, ilha do Bacural","-2,74916666666667","-58,0216666666667","Reserva de Desenvolvimento Sustentável do Uatumã","Nativa","NE"
"RB00470378",445265,"RB","ACANTHACEAE","Hygrophila","ACANTHACEAE Hygrophila costata Nees","Sócrates V. de Andrade",744,"8/2/1966",,"C.KAMEYAMA","28/7/2016",,"Brasil",,"Itatiaia","Lote 23.",,,"Parque Nacional do Itatiaia","Nativa","NE"
"UNIP03075","UNIP 3075","UNIP","ACANTHACEAE","Hygrophila","ACANTHACEAE Hygrophila costata Nees & T. Nees","Miyagi, P.H.",489,"15/2/1995",,,"s. d.",,"Brasil",,"Mamparra","Reserva Floresta Carlos Botelho. Cerca de 2 km da ""Sedinha"", beira de estrada.",,,"Parque Estadual Carlos Botelho","Nativa","NE"
"NY00709681","NA","NY","ACANTHACEAE","Justicia","ACANTHACEAE Justicia appendiculata (Ruiz & Pav.) Vahl","P. J. M. Maas;","P13090","18/5/1971",,"I. Azevedo","12/5/2020",,"Brazil",,,"Aldeota between Porongaba and Papagaio, Rio Juruá-Mirim.","-8,26861111111111136","-72,7438888888888897","Parque Nacional da Serra do Divisor","Nativa","NE"
"VIES026628","VIES 26628","VIES","ACANTHACEAE","Justicia","ACANTHACEAE Justicia asclepiadea (Nees) Wassh. & C. Ezcurra","Barros, P.H.D.",123,"3/3/2012",,"Indriunas, A.","21/5/2015",,"Brasil",,"Serra","APA Mestre Álvaro.",,,"Área de Proteção Ambiental Mestre Álvaro","Nativa","NE"
"MBML044090","MBML 44090","MBML","ACANTHACEAE","Justicia","ACANTHACEAE Justicia beyrichii (Nees) Lindau","W.W. Thomas",12332,"18/3/2001",,"S. Profice","1/2004",,"Brasil",,"Itanhém","Parque Nacional Monte Pascoal. Along road from park entrance to nature/conference center. Southern Bahian Wet Forest","-17,1327777777778","-40,4216666666667","Parque Nacional Histórico do Monte Pascoal","nativa","NE"
"RB00871943","RB 603790","RB","ACANTHACEAE","Justicia","ACANTHACEAE Justicia beyrichii (Nees) Lindau","M.S. Wängler",1514,"13/3/2014",,"D.M. Braz","9/3/2018",,"Brasil",,"Miguel Pereira","Estrada do Imperador. Na beira da estrada. REBIO Tinguá","-22,4863888888889","-43,3052777777778","Reserva Biológica do Tinguá","Nativa","NE"
"RB00528194",,"RB","ACANTHACEAE","Justicia","ACANTHACEAE Justicia bradeana Profice","A.P. Fontana",5140,"4/5/2008",,,"s. d.",,"Brasil",,"Cariacica","Localidade de Alegre, trilha do Pau Oco. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas","-20,2666666666666657","-40,5166666666666657","Reserva Biológica de Duas Bocas","Nativa","NE"
"FURB13615","FURB 22150","FURB","ACANTHACEAE","Justicia","ACANTHACEAE Justicia brasiliana Roth","Stival-Santos, A.;Silveira, S.,Legal, E.",1935,"10/3/2010",,"Stival-Santos, A","30/3/2010",,"Brasil",,"Florianópolis","Parque Municipal Lagoa do Peri.","-27,7297222222222217","-48,5116666666666632","Monumento Natural Municipal da Lagoa do Peri","Nativa","LC"
