"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Habenaria","ernesti-ulei","Hoehne","ORCHIDACEAE Habenaria ernesti-ulei Hoehne","BHCB195295","SPLINK","BHCB","Batista, J.A.N.","3522","Native","Ouro","Parque Nacional da Serra da Bocaina, Triha para o Pico da Bacia","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Habenaria","guilleminii","Rchb.f.","ORCHIDACEAE Habenaria guilleminii Rchb.f.","BHCB195288","SPLINK","BHCB","Batista, J.A.N.","3515","Native","Ouro","Parque Nacional da Serra da Bocaina, Triha para o Pico da Bacia","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Habenaria","nemorosa","Barb.Rodr.","ORCHIDACEAE Habenaria nemorosa Barb.Rodr.","BHCB195294","SPLINK","BHCB","Batista, J.A.N.","3521","Native","Ouro","Parque Nacional da Serra da Bocaina, Triha para o Pico da Bacia","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Orchidaceae","Habenaria","subviridis","Hoehne & Schltr.","ORCHIDACEAE Habenaria subviridis Hoehne & Schltr.","BHCB195290","SPLINK","BHCB","Batista, J.A.N.","3517","Native","Ouro","Parque Nacional da Serra da Bocaina, Triha para o Pico da Bacia","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Gentianaceae","Helia","brevifolia","Cham.","GENTIANACEAE Helia brevifolia Cham.","334535","SPLINK","SP","Freitas, L.","96","Native","Ouro","Parque Nacional da Serra da Bocaina","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Rubiaceae","Hillia","parasitica","Jacq.","RUBIACEAE Hillia parasitica Jacq.","UEC107832","SPLINK","UEC","Gomes, S.M.","730","Native","Ouro","Parque Nacional da Serra da Bocaina, Núcleo Picinguaba.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Ferns and Lycophytes","Dennstaedtiaceae","Histiopteris","incisa","(Thunb.) J.Sm.","DENNSTAEDTIACEAE Histiopteris incisa (Thunb.) J.Sm.","UPCB0003545","REFLORA",,,"4325","Native","Ouro","Estrada do Parque Nacional da Serra da Bocaina para Campos Novos.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Huberia","minutifolia","Bochorny & R.Goldenb.","MELASTOMATACEAE Huberia minutifolia Bochorny & R.Goldenb.","RB00673415",,"RB","Baumgratz, J.F.A.","1169","Native","Ouro","Trilha da cachoira São Isidro. Floresta Ombrófila Densa Altomontana, em encosta na margem do rio que forma a cachoeira São Isidro (afluente do rio Mambucaba). Parque Nacional da Serra da Bocaina, Lageado;","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Ferns and Lycophytes","Hymenophyllaceae","Hymenophyllum","asplenioides","(Sw.) Sw.","HYMENOPHYLLACEAE Hymenophyllum asplenioides (Sw.) Sw.","FURB00074089","REFLORA",,,"4412","Native","Ouro","Parque Nacional da Serra da Bocaina. Trilha para o rio (banheiros do PN) e trilha para o arroio.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Ferns and Lycophytes","Hymenophyllaceae","Hymenophyllum","fragile","(Hedw.) C.V.Morton","HYMENOPHYLLACEAE Hymenophyllum fragile (Hedw.) C.V.Morton","UPCB00005386","REFLORA",,,"4307","Native","Ouro","Parque Nacional da Serra da Bocaina, Cachoeira São Izidro.","Não"
