"","data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","institutionCode","basisOfRecord","identifiedBy","verbatimLatitude","verbatimLongitude","collectionID","specificepithet","recordedBy","decimalLongitude","decimalLatitude","modified","occurrenceRemarks","coordinatePrecision","recordNumber","barcode","continentocean","minimumelevationinmeters","maximumelevationinmeters","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","phylum","class","order","infraspecificepithet","preparationtype","individualcount","previouscatalognumber","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetName","eventDate","fieldNotes","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","occurrenceID","individualCount","establishmentMeans","georeferenceVerificationStatus","occurrenceStatus","preparations","associatedOccurrences","otherCatalogNumbers","previousIdentifications","fieldNumber","startDayOfYear","endDayOfYear","higherGeography","continent","typeStatus","taxonID","acceptedNameUsageID","higherClassification","genericName","specificEpithet","infraspecificEpithet","verbatimTaxonRank","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","species","verbatimScientificName","protocol","lastParsed","lastCrawled","repatriated","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","geodeticDatum","imageCollectionCode","duplicates","recordedByExtra","dateCollected","verbatimElevationMax","measurementUnit","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Smallanthus connatus","speciesLink","UEC","181664","Polymnia silphioides","Plantae","Asteraceae","Polymnia","2010","03","25","Brazil","São Paulo","Porto Ferreira","Parque Estadual de Porto-Ferreira, trilha de uso extensivo dos Jequitibás.","UNICAMP","S","Monge, M","-21.816667","-47.416667","2","silphioides","Lombardi, JA; Oliveira, APC","-47.416667","-21.816667","2025-04-07T10:49:53","<nO>Erva ca. 2,5 m, viscosa, folhas papiráceas, aromáticas, brácteas verdes, lígulas e flores amarelas, cipsélas marrons.; Borda de trilha em mata semidecídua</nO>",,"7665","UEC017839",,"520","600","A.DC.","2012","02",,"Magnoliopsida",,,,,,,"SPLINK","Porto Ferreira","2012-02-NA",,,,,,,,,,,,,"UEC",,"Lombardi, J.A.","7665","2010","Monge, M.","2012","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto-ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Smallanthus connatus","(Spreng.) H.Rob.","possibly_ok","Asteraceae","Smallanthus connatus","(Spreng.) H.Rob.","species","author misspelled|replaced synonym","bfo-104622","Smallanthus connatus","(Spreng.) H.Rob.","Smallanthus connatus (Spreng.) H.Rob.","Smallanthus","Asteraceae","high","Smallanthus connatus"
"Smilax elastica","user","ICN","ICN00048195","Smilax elastica Griseb.",,"Smilacaceae","Smilax","2011","05","19","Brasil","São Paulo",,"Parque Estadual de Porto Ferreira, trilha da Árvores Gigantes","ICN",,"Oliveira, APC","21º 49' 0"""" S","47º 25' 0"""" W",,,"Lombardi, JA","-47.4166666666667","-21.8166666666667",,"Duplicata do HRCB; Liana. Folhas coriáceas, flores creme; Mamostra em silica. Borda da trilha em cerradão e mata semidecídua",,"8535",,,,,"Griseb.",,,,,,,,,,,"REFLORA","Porto Ferreira","--/10/2011",,,,,,"Liana. Folhas coriáceas, flores creme",,"SPECIES",,"520",,,,,,,,,,,,,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,"não",,,,,,,,,,,,,,,,,,,,,,,,,,"elastica","SMILACACEAE Smilax elastica Griseb.",,,,,,,,,,,,,,,,,,,,"ICN",,"Saka, MN,Oliveira, APC,Arantes, FM","19/05/2011","600","METRO",,,"brazil_sao paulo_porto ferreira_parque estadual porto ferreira","Brazil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira","cncflora",TRUE,-21.8166666666667,-47.4166666666667,"coord_original","miliseconds","ok_same_resolution","Smilax elastica","Griseb.","name_w_authors","Smilacaceae","Smilax elastica","Griseb.","species","name accepted","bfo-14555",,,"Smilax elastica Griseb.","Smilax","Smilacaceae","high","Smilax elastica"
"Smilax fluminensis","speciesLink","HRCB","68058","Smilax fluminensis","Plantae","Smilacaceae","Smilax","2015","03","07","Brasil","São Paulo","Porto Ferreira","Parque Estadual Porto Ferreira","UNESP-RC","PreservedSpecimen","Sabino. G.P.",,,"15","fluminensis","Sabino, G.P.","-47.470001","-21.85","2025-02-04T08:04:24","<nO>Borda Cerradão. Frutos atropurpúreos.</nO>","13859","68","HRCB068058",,,,"Steud.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"HRCB",,"Sabino, G.P.","68","2015","Sabino., G.P.","n.d.",,"Sabino",,"brazil","sao paulo","porto ferreira","parque estadual porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","ok_same_resolution","Smilax fluminensis","Steud.","possibly_ok","Smilacaceae","Smilax fluminensis","Steud.","species","name accepted","bfo-14556",,,"Smilax fluminensis Steud.","Smilax","Smilacaceae","low","Smilax fluminensis"
"Solanum acerifolium","speciesLink","RON","9098","Solanum acerifolium","Plantae","Solanaceae","Solanum","2010","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, trilha do Poção, Borda de trilha em cerradão e mata semidecídua.","UNIR","PreservedSpecimen","Stehmam, J.R.","21º49'0''S","47º25'0''W","257","acerifolium","Lombardi, JA; Oliveira, APC","-47.4166667","-21.8166667","2025-05-01T12:05:06","<nO>Arbusto ca. 1m, folhas membranáceas, cálice verde claro, corola branca, anteras amarelo claras, frutos imaturos brancos com nervuras verdes.</nO>",,"7733","RON00009098",,,"0","Dunal","2010","7",,,,,,,,,"SPLINK","Porto Ferreira","2010-7-NA",,,,,,,,,,,,,"RON",,"Lombardi, J.A.","7733","2010","Stehmam, J.R.","2010","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.8166667,-47.4166667,"coord_original","miliseconds","ok_same_resolution","Solanum acerifolium","Dunal","possibly_ok","Solanaceae","Solanum acerifolium","Dunal","species","name accepted","bfo-14717",,,"Solanum acerifolium Dunal","Solanum","Solanaceae","low","Solanum acerifolium"
"Solanum argenteum","speciesLink","BHCB","141931","Solanum argenteum","Plantae","Solanaceae","Solanum","2010","03","25","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, Picada indo de próximo a sede em direção a trilha de uso extensivo dos Jequitibás.","UFMG","PreservedSpecimen",,"-21.816667","-47.416667","220","argenteum","Lombardi, JA; Oliveira, APC","-47.416667","-21.816667","2024-06-18T19:39:12","<nO>Duplicatas 1. Florística vascular não-arbórea do Parque Estadual de Porto Ferreira.; Arbusto ca. 2m. Ramos novos. Folhas na face abaxial e cálice prateados, folhas papiráceas. Corola branca, anteras amarelas.; Sub-bosque de cerradão e</nO>",,"7687","BHCB023058","Southern America","0","0","Dunal","2010","07","01","Dicotyledon",,,,,,,"SPLINK","Porto Ferreira","2010-07-01",,,,,,,,,,,,,"BHCB",,"Lombardi, J.A.","7687","2010","s.n.","2010","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Solanum argenteum","Dunal","possibly_ok","Solanaceae","Solanum argenteum","Dunal","species","name accepted","bfo-14731",,,"Solanum argenteum Dunal","Solanum","Solanaceae","unknown","Solanum argenteum"
"Solanum granulosoleprosum","speciesLink","FUEL","31988","Solanum granulosoleprosum","Plantae","Solanaceae","Solanum","1993","01","25","Brasil","São Paulo","Porto Ferreira","Parque Estadual","UEL","PreservedSpecimen","Franco, GADC","0","0","48","granulosoleprosum","Bertoni, JEA","-47.470001","-21.85","2024-12-05T15:06:39","<nO>Arvoreta; flores azul-arroxeada; Cerrado.</nO>","13859","160",,,"0","0","Dunal","1996","11",,"Tracheophyta",,"Solanales",,,,,"SPLINK","Porto Ferreira","1996-11-NA",,,,,,,,,,,,,"FUEL",,"Bertoni, J.E.A.","160","1993","Franco, G.A.D.C.","1996",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadual","locality","brazil_sao paulo_porto ferreira_parque estadual","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","ok_same_resolution","Solanum granulosoleprosum","Dunal","possibly_ok","Solanaceae","Solanum granulosoleprosum","Dunal","species","name accepted","bfo-14775",,,"Solanum granulosoleprosum Dunal","Solanum","Solanaceae","medium","Solanum granulosoleprosum"
"Solanum lantana","speciesLink","HUEFS","201965","Solanum lantana","Plantae","Solanaceae","Solanum","2010","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, trilha do Poção.","UEFS","PreservedSpecimen","J.R.Stehmann","21Â°49'S","47Â°25'W","204","lantana","Lombardi, J.A.","-47.416667","-21.816667","2025-04-30T14:05:16",,,"7749","HUEFS0201965",,"520","600","Sendtn.","2010","07",,"Angiospermae","Asteranae","Solanales",,,,,"SPLINK","Porto Ferreira","2010-07-NA",,,,,,,,,,,,,"HUEFS",,"Lombardi, J.A.","7749","2010","Stehmann, J.R.","2010",,"Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","ok_same_resolution","Solanum lantana","Sendtn.","possibly_ok","Solanaceae","Solanum lantana","Sendtn.","species","name accepted","bfo-14798",,,"Solanum lantana Sendtn.","Solanum","Solanaceae","high","Solanum lantana"
"Solanum lycocarpum","speciesLink","FUEL","35588","Solanum lycocarpum","Plantae","Solanaceae","Solanum","1997","11","14","Brasil","São Paulo","Porto Ferreira","Parque Estadual","UEL","PreservedSpecimen","Franco, GADC","0","0","48","lycocarpum","Dickfeldt, EP","-47.470001","-21.85","2024-12-05T15:06:39","<nO>Arvoreta; flores.</nO>","13859","46",,,"0","0","A.St.-Hil.","1997",,,"Tracheophyta",,"Solanales",,,,,"SPLINK","Porto Ferreira","1997-NA-NA",,,,,,,,,,,,,"FUEL",,"Dickfeldt, E.P.","46","1997","Franco, G.A.D.C.","1997",,"Dickfeldt",,"brazil","sao paulo","porto ferreira","parque estadual","locality","brazil_sao paulo_porto ferreira_parque estadual","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","ok_same_resolution","Solanum lycocarpum","A.St.-Hil.","possibly_ok","Solanaceae","Solanum lycocarpum","A.St.-Hil.","species","name accepted","bfo-14805",,,"Solanum lycocarpum A.St.-Hil.","Solanum","Solanaceae","medium","Solanum lycocarpum"
"Solanum paniculatum","speciesLink","SPSF","25899","Solanum paniculatum","Plantae","Solanaceae","Solanum","1997","10","02","Brasil","SP","Porto Ferreira","Parque Estadual","IF","PreservedSpecimen",,,,"13","paniculatum","J.E.A.Bertoni","-47.470001","-21.85","2024-08-06T09:17:12","<nO>COLETA: XLS: SPSFAntigo;</nO>","13859","387","SPSF00025899","América do Sul",,,,,,,"Magnoliophyta","Magnoliopsida","Solanales",,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"SPSF",,"Bertoni, J.E.A.","387","1997","s.n.","n.d.",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadual","locality","brazil_sao paulo_porto ferreira_parque estadual","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","ok_same_resolution","Solanum paniculatum","L.","possibly_ok","Solanaceae","Solanum paniculatum","L.","species","name accepted","bfo-14821",,,"Solanum paniculatum L.","Solanum","Solanaceae","unknown","Solanum paniculatum"
"Solanum swartzianum","speciesLink","SPSF","25923","Solanum argenteum","Plantae","Solanaceae","Solanum","1998","07","01","Brasil","SP","Porto Ferreira","Parque Estadual","IF","PreservedSpecimen",,,,"13","argenteum","J.E.A.Bertoni","-47.470001","-21.85","2024-08-06T09:17:08","<nO>COLETA: XLS: SPSFAntigo; GEOGRAFIA: mata ciliar&nf;;</nO>","13859","351","SPSF00025923","América do Sul",,,,,,,"Magnoliophyta","Magnoliopsida","Solanales",,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"SPSF",,"Bertoni, J.E.A.","351","1998","s.n.","n.d.",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadual","locality","brazil_sao paulo_porto ferreira_parque estadual","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","ok_same_resolution","Solanum swartzianum","Roem. & Schult.","possibly_ok","Solanaceae","Solanum swartzianum","Roem. & Schult.","species","+1 name, but 1 accepted","bfo-14872","Solanum swartzianum","Roem. & Schult.","Solanum swartzianum Roem. & Schult.","Solanum","Solanaceae","unknown","Solanum swartzianum"
"Solanum uncinellum","speciesLink","HRCB","71796","Solanum uncinellum","Plantae","Solanaceae","Solanum","2017","11","18","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira Cerradão, próximo à lagoa do Cerrado","UNESP-RC","PreservedSpecimen","Sampio, V. - via Detweb","21°49'0.0006""S","47°25'0.0006""W","15","uncinellum","Sabino, G.P.","-47.416667","-21.816667","2025-02-04T08:04:26","<nO>Liana, terrícola, pétalas brancas, anteras amarelo-ovo.Habitat: Cerradão</nO>",,"24","HRCB071796",,,,"Lindl.","2018","03",,,,,,,,,"SPLINK","Porto Ferreira","2018-03-NA",,,,,,,,,,,,,"HRCB",,"Sabino, G.P.","24","2017","Sampio, V.-V.D.","2018",,"Sabino",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira cerradao","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816667,-47.416667,"coord_original","minutes","check_local.2municip.","Solanum uncinellum","Lindl.","possibly_ok","Solanaceae","Solanum uncinellum","Lindl.","species","name accepted","bfo-109204",,,"Solanum uncinellum Lindl.","Solanum","Solanaceae","low","Solanum uncinellum"
"Solidago chilensis","speciesLink","SPSF","20779","Solidago chilensis","Plantae","Asteraceae","Solidago","1993","01","14","Brasil","SP","Porto Ferreira","P.E.Instituto Florestal","IF","PreservedSpecimen",,,,"13","chilensis","J.E.A.Bertoni","-47.470001","-21.85","2024-08-06T09:13:19","<nO>COLETA: XLS: SPSFAntigo; GEOGRAFIA: cultivada&nf;;</nO>","13859","173","SPSF00020779","América do Sul",,,"Meyen",,,,"Magnoliophyta","Magnoliopsida","Asterales",,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"SPSF",,"Bertoni, J.E.A.","173","1993","s.n.","n.d.",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadualinstituto florestal","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","check_local.2municip.","Solidago chilensis","Meyen","possibly_ok","Asteraceae","Solidago chilensis","Meyen","species","name accepted","bfo-5503",,,"Solidago chilensis Meyen","Solidago","Asteraceae","unknown","Solidago chilensis"
"Sorocea bonplandii","speciesLink","SPSF","25924","Sorocea bonplandii","Plantae","Moraceae","Sorocea","1998","08","27","Brasil","SP","Porto Ferreira","P.E.Instituto Florestal","IF","PreservedSpecimen",,,,"13","bonplandii","J.E.A.Bertoni","-47.470001","-21.85","2024-08-06T09:16:21","<nO>COLETA: XLS: SPSFAntigo; GEOGRAFIA: mata ciliar&nf;;</nO>","13859","352","SPSF00025924","América do Sul",,,,,,,"Magnoliophyta","Magnoliopsida","Rosales",,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"SPSF",,"Bertoni, J.E.A.","352","1998","s.n.","n.d.",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadualinstituto florestal","locality","brazil_sao paulo_porto ferreira","brazil_sao paulo_porto ferreira",-21.84143673,-47.44653435,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.470001,"coord_original","miliseconds","check_local.2municip.","Sorocea bonplandii","(Baill.) W.C.Burger et al.","possibly_ok","Moraceae","Sorocea bonplandii","(Baill.) W.C.Burger et al.","species","name accepted","bfo-31440",,,"Sorocea bonplandii (Baill.) W.C.Burger et al.","Sorocea","Moraceae","unknown","Sorocea bonplandii"
"Spigelia beyrichiana","speciesLink","CEN","85748","Spigelia cf. beyrichiana","Plantae","Loganiaceae","Spigelia","2010","04","08",,"SP","PORTO FERREIRA","Parque Estadual de Porto Ferreira, trilha do poção, ca. 21º49`, 47º25`, 520 - 600 m","Cenargen","PreservedSpecimen","A. P. C. Oliveira","-21,816666","-47,416666","399","cf. beyrichiana","Júlio Antônio Lombardi","-47.416666","-21.816666","2024-09-19T13:56:22","<nO>Folhas papiráceas, cálice verde, corola branca. Doação HERBARIUM RIOCLARENSE HRCB (52388)</nO>",,"7734","CEN00085748",,"520","520","Cham. & Schltdl.","2011","12",,,,,,"Exsicatas","2",,"SPLINK","PORTO FERREIRA","2011-12-NA",,,,,,,,,,,,,"CEN",,"Lombardi, J.A.","7734","2010","Oliveira, A.P.C.","2011",,"Lombardi",,,"sp","porto ferreira","parque estadual de porto ferreira","no_info",,,,,"no_info",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.816666,-47.416666,"coord_original","seconds","ok_same_resolution","Spigelia beyrichiana","Cham. & Schltdl.","conferre","Loganiaceae","Spigelia beyrichiana","Cham. & Schltdl.","species","name accepted","bfo-8636",,,"Spigelia beyrichiana Cham. & Schltdl.","Spigelia","Loganiaceae","low","Spigelia beyrichiana"
"Stigmaphyllon lalandianum","speciesLink","HRCB","68033","Stygmaphyllon lalandianum","Plantae","Malpighiaceae","Stygmaphyllon","2015","04","08","Brasil","São Paulo","Porto Ferreira","Parque Estadual Porto Ferreira","UNESP-RC","PreservedSpecimen","Taxonomia de Lianas","22°27'17.7""S","044°36'25.6""W","15","lalandianum","Taxonomia de Lianas","-44.607111","-22.454917","2025-02-04T08:03:09","<nO>Floresta Estacional Semidecidual (borda). Trepadeira lenhosa volúvel com flores amarelas.</nO>",,"43","HRCB068033",,,,"A.Juss.",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"HRCB",,"Lianas, T.","43","2015","Lianas, T.","n.d.",,"Lianas",,"brazil","sao paulo","porto ferreira","parque estadual porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-22.454917,-44.607111,"coord_original","miliseconds","ok_same_resolution","Stigmaphyllon lalandianum","A.Juss.","possibly_ok","Malpighiaceae","Stigmaphyllon lalandianum","A.Juss.","species","name misspelled","bfo-8958",,,"Stigmaphyllon lalandianum A.Juss.","Stigmaphyllon","Malpighiaceae","low","Stigmaphyllon lalandianum"
"Stizophyllum perforatum","user","RB","RB00748990","Stizophyllum perforatum (Cham.) Miers","Plantae","Bignoniaceae","Stizophyllum","2010","4","8","Brasil","São Paulo",,"Parque Estadual de Porto Ferreira, trilha do Poçao, ca.","JBRJ","Preserved Specimen","J.A. Lombardi","21º49´","47º25´W",,,"J.A. Lombardi; A.P.C. Oliveira","-47.4166667","-21.8166667",,"Liana, folíolos papiráceos, frutos imaturos verdes",,"7782",,,,,"(Cham.) Miers",,,,,,,,,,,,"Porto Ferreira","2010-4",,,"BR",,"2010-04-08","Borda de trilha em cerradão e mata semidecídua",,"sp.","Physical Object",,,,"RB",,"Lombardi, J.A.","7782","2010","Lombardi, J.A.","2010","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,"HRCB",,,"urn:catalog:JBRJ:RB:748990",,,,,,,"RB 564246",,,,,,,,,,,,"perforatum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/74/89/90/00748990.jpg","520","600",,,,,,,,"2017-10-15 10:07:06+00","Angiospermas","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","Brazil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira","cncflora",TRUE,-21.8166667,-47.4166667,"coord_original","miliseconds","ok_same_resolution","Stizophyllum perforatum","(Cham.) Miers","name_w_authors","Bignoniaceae","Stizophyllum perforatum","(Cham.) Miers","species","name accepted","bfo-113931",,,"Stizophyllum perforatum (Cham.) Miers","Stizophyllum","Bignoniaceae","low","Stizophyllum perforatum"
"Streptochaeta spicata","speciesLink","RON","9107","Streptochaeta spicata","Plantae","Poaceae","Streptochaeta","2010","03","25","Brasil","São Paulo","Porto Ferreira","Parque Estadual de Porto Ferreira, trilha de uso e, Borda de trilha em mata semidecídua.","UNIR","PreservedSpecimen","Lombardi, J.A.","21º49'0''S","47º25'0''W","257","spicata","Lombardi, JA; Oliveira, APC","-47.4166667","-21.8166667","2025-05-01T12:05:06","<nO>Erva, infrutescências verdes.</nO>",,"7720","RON00009107",,,"0","Schrad. ex Nees","2010","3",,,,,,,,,"SPLINK","Porto Ferreira","2010-3-NA",,,,,,,,,,,,,"RON",,"Lombardi, J.A.","7720","2010","Lombardi, J.A.","2010","Oliveira, A.P.C.","Lombardi",,"brazil","sao paulo","porto ferreira","parque estadual de porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.8166667,-47.4166667,"coord_original","miliseconds","ok_same_resolution","Streptochaeta spicata","Schrad. ex Nees","possibly_ok","Poaceae","Streptochaeta spicata","Schrad. ex Nees","species","name accepted","bfo-13646",,,"Streptochaeta spicata Schrad. ex Nees","Streptochaeta","Poaceae","low","Streptochaeta spicata"
"Stylogyne warmingii","speciesLink","UB","107667","Stylogyne warmingii","Plantae","Primulaceae","Stylogyne","1981","05","19","Brasil","São Paulo","Porto Ferreira","Parque Estadual Porto Ferreira.","UNB","PreservedSpecimen","Martins, FR","21º51'0''S","47º28'12''W","224","warmingii","Bertoni, JEA","-47.47","-21.85","2025-05-01T12:06:08","<nO>Arvoreta 2-3m; Mata.</nO>",,"20388","UB1223597",,,,"Mez",,,,,,,,,,,"SPLINK","Porto Ferreira",,,,,,,,,,,,,,"UB","code not found","Bertoni, J.E.A.","20388","1981","Martins, F.R.","n.d.",,"Bertoni",,"brazil","sao paulo","porto ferreira","parque estadual porto ferreira","locality","brazil_sao paulo_porto ferreira_parque estadual porto ferreira","brazil_sao paulo_porto ferreira_parque estadual porto ferreira",-21.850732,-47.431182,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,-21.85,-47.47,"coord_original","miliseconds","ok_same_resolution","Stylogyne warmingii","Mez","possibly_ok","Primulaceae","Stylogyne warmingii","Mez","species","name accepted","bfo-10254",,,"Stylogyne warmingii Mez","Stylogyne","Primulaceae","low","Stylogyne warmingii"
