"","data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","coordinatePrecision","institutionCode","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","collectionID","specificepithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","occurrenceRemarks","continentocean","phylum","class","order","recordNumber","locality","verbatimLatitude","verbatimLongitude","minimumelevationinmeters","maximumelevationinmeters","previouscatalognumber","individualcount","fieldnumber","infraspecificepithet","relationshiptype","relatedcatalogitem","typeStatus","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Porophyllum ruderale","speciesLink","SPSF00057598","SPSF","57598","Porophyllum ruderale","Plantae","Asteraceae","Porophyllum","2016","12","12","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2022","11","13","13","ruderale","G.Durigan","-49.2375","-22.816667","2024-08-06T09:13:18","(Jacq.) Cass.","<nO>COLETA: Erva de folhas glaucas. Odor desagradável.; GEOGRAFIA: Campo Cerrado.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Asterales","4223","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2022-11-13",,,,,,,,,,,,,,,,,,"SPSF",,"Durigan, G.","4223","2016","Durigan, G.","2022",,"Durigan",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Porophyllum ruderale","(Jacq.) Cass.","possibly_ok","Asteraceae","Porophyllum ruderale","(Jacq.) Cass.","species","name accepted","bfo-16263",,,"Porophyllum ruderale (Jacq.) Cass.","Porophyllum","Asteraceae","medium","Porophyllum ruderale"
"Pouteria ramiflora","speciesLink","SPSF00043051","SPSF","43051","Pouteria ramiflora","Plantae","Sapotaceae","Pouteria","2008","09","24","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2008","09","24","13","ramiflora","N.Guerin & G.Durigan & E.Furlan","-49.236111","-22.838056","2024-08-06T09:13:38","(Mart) Radlk.","<nO>COLETA: Árvore de 10 m de altura; flor branca.; GEOGRAFIA: Ecótono com Pinus.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Ericales","256","Estação Ecológica de Santa Bárbara",,,,,,,,,,,,"SPLINK","Águas de Santa Bárbara","2008-09-24",,,,,,,,,,,,,,,,,,"SPSF",,"Guerin, N.","256","2008","Durigan, G.","2008","Durigan, G.; Furlan, E.","Guerin",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Pouteria ramiflora","(Mart.) Radlk.","possibly_ok","Sapotaceae","Pouteria ramiflora","(Mart.) Radlk.","species","author misspelled","bfo-21020",,,"Pouteria ramiflora (Mart.) Radlk.","Pouteria","Sapotaceae","medium","Pouteria ramiflora"
"Pouteria torta","speciesLink","SPSF00042987","SPSF","42987","Pouteria torta","Plantae","Sapotaceae","Pouteria","2008","09","23","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2008","09","23","13","torta","N.Guerin & G.Durigan & E.Furlan","-49.215833","-22.816389","2024-08-06T09:13:38","(Mart.) Radlk.","<nO>COLETA: Árvore 8m altura; botões florais; GEOGRAFIA: Cerrado Denso.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Ericales","196","Estação Ecológica de Santa Bárbara",,,,,,,,,,,,"SPLINK","Águas de Santa Bárbara","2008-09-23",,,,,,,,,,,,,,,,,,"SPSF",,"Guerin, N.","196","2008","Durigan, G.","2008","Durigan, G.; Furlan, E.","Guerin",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Pouteria torta","(Mart.) Radlk.","possibly_ok","Sapotaceae","Pouteria torta","(Mart.) Radlk.","species","name accepted","bfo-14518",,,"Pouteria torta (Mart.) Radlk.","Pouteria","Sapotaceae","medium","Pouteria torta"
"Pradosia brevipes","speciesLink","SPSF00042989","SPSF","42989","Pradosia brevipes","Plantae","Sapotaceae","Pradosia","2008","09","24","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2008","09","24","13","brevipes","N.Guerin & G.Durigan & E.Furlan","-49.229444","-22.835833","2024-08-06T09:13:38","(Pierre) T.D.Penn.","<nO>COLETA: Subarbusto de 20 cm de altura.; GEOGRAFIA: Floresta paludícula.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Ericales","198","Estação Ecológica de Santa Bárbara",,,,,,,,,,,,"SPLINK","Águas de Santa Bárbara","2008-09-24",,,,,,,,,,,,,,,,,,"SPSF",,"Guerin, N.","198","2008","Durigan, G.","2008","Durigan, G.; Furlan, E.","Guerin",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Pradosia brevipes","(Pierre) T.D.Penn.","possibly_ok","Sapotaceae","Pradosia brevipes","(Pierre) T.D.Penn.","species","name accepted","bfo-14522",,,"Pradosia brevipes (Pierre) T.D.Penn.","Pradosia","Sapotaceae","medium","Pradosia brevipes"
"Prescottia stachyodes","speciesLink","SPSF00057605","SPSF","57605","Prescottia stachyodes","Plantae","Orchidaceae","Prescottia","2016","12","18","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2022","11","13","13","stachyodes","G.Durigan","-49.2375","-22.816667","2024-08-06T09:12:43","(Sw.) Lindl.","<nO>COLETA: Erva terrícola. Flores verdes diminutas ao longo de espiga ereta.; GEOGRAFIA: Cerrado Stricto sensu.;</nO>","América do Sul","Magnoliophyta","Liliopsida","Orchidales","4231","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2022-11-13",,,,,,,,,,,,,,,,,,"SPSF",,"Durigan, G.","4231","2016","Durigan, G.","2022",,"Durigan",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Prescottia stachyodes","(Sw.) Lindl.","possibly_ok","Orchidaceae","Prescottia stachyodes","(Sw.) Lindl.","species","name accepted","bfo-12091",,,"Prescottia stachyodes (Sw.) Lindl.","Prescottia","Orchidaceae","medium","Prescottia stachyodes"
"Prestonia coalita","speciesLink","SPSF00057571","SPSF","57571","Prestonia coalita","Plantae","Apocynaceae","Prestonia","2019","02","14","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan",,,,"13","coalita","G.Durigan & N.Pilon & B.H.Campos","-49.2375","-22.816667","2024-08-06T09:14:09","(Vell.) Woodson","<nO>COLETA: Trepadeira. Flores amarelas.; GEOGRAFIA: Cerradão.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Gentianales","4189","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara",,,,,,,,,,,,,,,,,,,"SPSF",,"Durigan, G.","4189","2019","Durigan, G.","n.d.","Pilon, N.; Campos, B.H.","Durigan",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Prestonia coalita","(Vell.) Woodson","possibly_ok","Apocynaceae","Prestonia coalita","(Vell.) Woodson","species","name accepted","bfo-4826",,,"Prestonia coalita (Vell.) Woodson","Prestonia","Apocynaceae","medium","Prestonia coalita"
"Prunus myrtifolia","speciesLink","SPSF00042997","SPSF","42997","Prunus myrtifolia","Plantae","Rosaceae","Prunus","2008","09","23","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2008","09","23","13","myrtifolia","N.Guerin & G.Durigan & E.Furlan","-49.217778","-22.819444","2024-08-06T09:16:25","(L.) Urban","<nO>COLETA: Árvore de 3 m de altura; fruto imaturo verde.; GEOGRAFIA: Cerrado típico.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Rosales","207","Estação Ecológica de Santa Bárbara",,,,,,,,,,,,"SPLINK","Águas de Santa Bárbara","2008-09-23",,,,,,,,,,,,,,,,,,"SPSF",,"Guerin, N.","207","2008","Durigan, G.","2008","Durigan, G.; Furlan, E.","Guerin",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Prunus myrtifolia","(L.) Urb.","possibly_ok","Rosaceae","Prunus myrtifolia","(L.) Urb.","species","author misspelled","bfo-26058",,,"Prunus myrtifolia (L.) Urb.","Prunus","Rosaceae","medium","Prunus myrtifolia"
"Pseudananas","gbif",,"UEC","59382","Pseudananas Hassl. ex Harms","Plantae","Bromeliaceae","Ananas","1989","5","31","Brazil","São Paulo",,,"UNICAMP","PRESERVED_SPECIMEN","Mendoza, M",,,,"https://specieslink.net/col/2",,"Meira Neto, JAA",,,"2024-11-25 11:10:31",,"Erva rosetada com inflorescência madura.; Cerrado.",,"Tracheophyta","Liliopsida","Poales","416","Estação Ecológica de Santa Bárbara",,,,,,,,,,,,"GBIF","Águas de Santa Bárbara","2015-10-02","Ananas Mill.",,"BR",,,"1989-05-31",,,,,,"SYNONYM","GENUS",,,,,,,,,,,,,,,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county","67114","1089022921",,,"CC_BY_4_0","Universidade Estadual de Campinas - Instituto de Biologia","https://specieslink.net/guid/2/59382","Herbário da Universidade Estadual de Campinas",,"Universidade Estadual de Campinas",,,,"https://specieslink.net/guid/2/59382",,,,,,,,,,,,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"151","151",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2699430",,,,,,,,,,,,,,,,,"Pseudananas",,,,,,,,,,,"7741a517-ab3d-4b85-ae58-56322e44c8ce","BR","2025-01-05 15:38:15.409",,,,,,"CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE",,FALSE,FALSE,"8102243","2699430","6","7707728","196","1369","3740","2699430",,,,"Pseudananas",,"EML","2025-01-05 15:38:15.409","2025-01-05 15:31:00.136",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,,,,,,,,,,,,,,"WGS84",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Pseudananas","(Hassl.) Harms","name_w_authors","Bromeliaceae","Pseudananas","(Hassl.) Harms","genus","author misspelled","bfo-6333",,,"Pseudananas (Hassl.) Harms","Pseudananas","Bromeliaceae","unknown",
"Pseudotrimezia juncifolia","speciesLink","SPSF00050281","SPSF","50281","Pseudotrimezia juncifolia","Plantae","Iridaceae","Pseudotrimezia","2015","10","14","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","I.S. Marques","2023","07","31","13","juncifolia","F.M.Souza & G.Durigan & N.Pilon","-49.198889","-22.811111","2024-08-06T09:12:37","(Klatt) Lovo & A.Gil","<nO>COLETA: Erva, 63 cm, flores amarelas; GEOGRAFIA: Cerrado, Estação Ecológica;</nO>","América do Sul","Magnoliophyta","Liliopsida","Liliales","1269","Estação Ecológica de Santa Bárbara",,,,,,,,,,,,"SPLINK","Águas de Santa Bárbara","2023-07-31",,,,,,,,,,,,,,,,,,"SPSF",,"Souza, F.M.","1269","2015","Marques, I.S.","2023","Durigan, G.; Pilon, N.","Souza",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Pseudotrimezia juncifolia","(Klatt) Lovo & A.Gil","possibly_ok","Iridaceae","Pseudotrimezia juncifolia","(Klatt) Lovo & A.Gil","species","name accepted","bfo-606777",,,"Pseudotrimezia juncifolia (Klatt) Lovo & A.Gil","Pseudotrimezia","Iridaceae","low","Pseudotrimezia juncifolia"
"Psidium australe","speciesLink","SPSF00056521","SPSF","56521","Psidium australe","Plantae","Myrtaceae","Psidium","2015","02","15","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2015","02","15","13","australe","G.Durigan & N.Pilon","-49.2375","-22.816667","2024-08-06T09:16:05","Cambess.","<nO>COLETA: Subarbusto, bastante ramificado na base, folhas lustrosas.; GEOGRAFIA: Campo Cerrado.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Myrtales","4087","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2015-02-15",,,,,,,,,,,,,,,,,,"SPSF",,"Durigan, G.","4087","2015","Durigan, G.","2015","Pilon, N.","Durigan",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Psidium australe","Cambess.","possibly_ok","Myrtaceae","Psidium australe","Cambess.","species","name accepted","bfo-10856",,,"Psidium australe Cambess.","Psidium","Myrtaceae","medium","Psidium australe"
"Psidium grandifolium","speciesLink","SPSF00056528","SPSF","56528","Psidium grandifolium","Plantae","Myrtaceae","Psidium","2014","01","07","Brasil","SP","Águas de Santa Bárbara",,"IF","PreservedSpecimen","G.Durigan","2024","02","14","13","grandifolium","G.Durigan & N.Pilon & G.B.Assis","-49.2375","-22.816667","2024-08-06T09:16:08","Mart. ex DC.","<nO>COLETA: Subarbusto, frutos pequenos, verdes mesmo quando maduros.; GEOGRAFIA: Campo Cerrado.;</nO>","América do Sul","Magnoliophyta","Magnoliopsida","Myrtales","4095","Estação Ecológica de Santa Bárbara",,,"650","650",,,,,,,,"SPLINK","Águas de Santa Bárbara","2024-02-14",,,,,,,,,,,,,,,,,,"SPSF",,"Durigan, G.","4095","2014","Durigan, G.","2024","Pilon, N.; Assis, G.B.","Durigan",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Psidium grandifolium","Mart. ex DC.","possibly_ok","Myrtaceae","Psidium grandifolium","Mart. ex DC.","species","name accepted","bfo-10866",,,"Psidium grandifolium Mart. ex DC.","Psidium","Myrtaceae","medium","Psidium grandifolium"
"Psidium laruotteanum","user",,"RB","RB01223131","Psidium laruotteanum Cambess.","Plantae","Myrtaceae","Psidium","2016","11","11","Brasil","São Paulo",,,"JBRJ","Preserved Specimen","G. Durigan",,,,,,"G.B. Assis; N.A.L. Pilon, G. Durigan","-49.2369444","-22.7916666",,"Cambess.","Arbusto, 1, 5 m de altura",,,,,"277","campo cerrado. Estação Ecológica de Santa Bárbara","22º47´30´´","49º14´13´´W",,,,,,,,,,,"Águas de Santa Bárbara","2016-11-11",,,"BR",,,"2016-11-11",,,,,,,"sp.","Physical Object",,,,"RB",,"Assis, G.B.","277","2016","Durigan, G.","2016","Pilon, N.A.L.; Durigan, G.","Assis",,"brazil","sao paulo","aguas de santa barbara","estacao ecologica de santa barbara",,"locality","brazil_sao paulo_aguas santa barbara","brazil_sao paulo_aguas santa barbara",-22.85853144,-49.26085099,"county",,,,,,,,"RB",,,,,,"urn:catalog:JBRJ:RB:1223131",,,,,,,,,,,,,,,,,,,,,,"RB 675184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"laruotteanum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/22/31/31/01223131.jpg",,,,,,,,,,,,,,,,,,,,,,"2017-02-12 15:13:59+00","Angiospermas","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","brazil_sao paulo_aguas santa barbara","Brazil","São Paulo","Águas de Santa Bárbara",,"ibge","check_local.2municip.","Psidium laruotteanum","Cambess.","name_w_authors","Myrtaceae","Psidium laruotteanum","Cambess.","species","name accepted","bfo-10871",,,"Psidium laruotteanum Cambess.","Psidium","Myrtaceae","medium","Psidium laruotteanum"
