"Nome.da.UC","Municípios.Abrangidos","NumRecords","NumTaxons","NumSpecies","NumGenus","NumFamilies"
"ESTAÇÃO ECOLÓGICA BRÁULIO GUEDES DA SILVA","SOROCABA (SP)",0,0,0,0,0
"ESTAÇÃO ECOLÓGICA CHAÚAS","IGUAPE (SP)",0,0,0,0,0
"ESTAÇÃO ECOLÓGICA DE ANGATUBA","ANGATUBA (SP) - GUAREÍ (SP)",1494,260,257,179,76
"ESTAÇÃO ECOLÓGICA DE ASSIS","ASSIS (SP)",1630,366,321,224,82
"ESTAÇÃO ECOLÓGICA DE AVARÉ","AVARÉ (SP)",347,123,115,91,37
"ESTAÇÃO ECOLÓGICA DE BAURU","BAURU (SP)",104,39,38,31,20
"ESTAÇÃO ECOLÓGICA DE ITAPETI","MOGI DAS CRUZES (SP)",121,60,59,49,31
"ESTAÇÃO ECOLÓGICA DE ITIRAPINA","BROTAS (SP) - ITIRAPINA (SP)",1745,467,408,260,85
"ESTAÇÃO ECOLÓGICA DE MARÍLIA","MARÍLIA (SP)",0,0,0,0,0
"ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU","MOGI GUAÇU (SP)",165,61,60,51,30
"ESTAÇÃO ECOLÓGICA DE PARANAPANEMA","PARANAPANEMA (SP)",1470,384,378,251,90
"ESTAÇÃO ECOLÓGICA DE PAULO DE FARIA","PAULO DE FARIA (SP)",1859,408,373,242,74
"ESTAÇÃO ECOLÓGICA DE RIBEIRÃO PRETO","RIBEIRÃO PRETO (SP)",604,208,174,141,58
"ESTAÇÃO ECOLÓGICA DE SANTA BÁRBARA","ÁGUAS DE SANTA BÁRBARA (SP)",2573,631,602,323,100
"ESTAÇÃO ECOLÓGICA DE SANTA MARIA","SÃO SIMÃO (SP)",4,4,3,3,4
"ESTAÇÃO ECOLÓGICA DE XITUÉ","RIBEIRÃO GRANDE (SP)",126,71,67,50,35
"ESTAÇÃO ECOLÓGICA DO BARREIRO RICO","ANHEMBI (SP)",4,2,2,2,1
"ESTAÇÃO ECOLÓGICA DO NOROESTE PAULISTA","MIRASSOL (SP) - SÃO JOSÉ DO RIO PRETO (SP)",1376,307,281,202,75
"ESTAÇÃO ECOLÓGICA DO TANQUE GRANDE","GUARULHOS (SP)",0,0,0,0,0
"ESTAÇÃO ECOLÓGICA DOS CAETETUS","ALVINLÂNDIA (SP) - GÁLIA (SP)",1532,384,357,240,82
