"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Bixaceae","Cochlospermum","regium","(Mart. ex Schrank) Pilg.","BIXACEAE Cochlospermum regium (Mart. ex Schrank) Pilg.","BOTUW003027","Splink","BOTUw","Lima, A.C.","501","Native","Bronze","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Burmanniaceae","Burmannia","capitata","(Walter ex J.F.Gmel.) Mart.","BURMANNIACEAE Burmannia capitata (Walter ex J.F.Gmel.) Mart.","SPSF00057720","Splink","SPSF","Pilon, N.","228","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Caryocaraceae","Caryocar","brasiliense","Cambess.","CARYOCARACEAE Caryocar brasiliense Cambess.","BOTUW003026","Splink","BOTUw","Lima, A.C.","498","Native","Bronze","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Caryophyllaceae","Polycarpaea","corymbosa","(L.) Lam.","CARYOPHYLLACEAE Polycarpaea corymbosa (L.) Lam.","RB01225380","GBIF","Rio de Janeiro Botanical Garden Herbarium","Assis, G.B.","283","Naturalized","Prata","Arboreto, campo cerrado. Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Clusiaceae","Garcinia","brasiliensis","Mart.","CLUSIACEAE Garcinia brasiliensis Mart.","SPSF00040951","Splink","SPSF","Durigan, G.",,"Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Commelinaceae","Commelina","diffusa","Burm.f.","COMMELINACEAE Commelina diffusa Burm.f.","UEC176980","Splink","UEC","Dalbeto, A.C.","56","Naturalized","Prata","Coletada na Floresta Estadual de Assis, campo úmido, próximo à linha do trem.","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Convolvulaceae","Ipomoea","argentea","Meisn.","CONVOLVULACEAE Ipomoea argentea Meisn.","SPSF00057728","Splink","SPSF","Pilon, N.","237","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Ferns and Lycophytes","Cyatheaceae","Cyathea","atrovirens","(Langsd. & Fisch.) Domin","CYATHEACEAE Cyathea atrovirens (Langsd. & Fisch.) Domin","SPSF00057739","Splink","SPSF","Pilon, N.","249","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Cyperaceae","Bulbostylis","junciformis","(Kunth) C.B.Clarke","CYPERACEAE Bulbostylis junciformis (Kunth) C.B.Clarke","SPSF00057721","Splink","SPSF","Pilon, N.","229","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Cyperaceae",,,"Juss.","CYPERACEAE Cyperaceae Juss.","SPSF00057712","Splink","SPSF","Pilon, N.","220",,"Latão","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Cyperaceae","Cyperus","aggregatus","(Willd.) Endl.","CYPERACEAE Cyperus aggregatus (Willd.) Endl.","UEC176985","Splink","UEC","Dalbeto, A.C.","48","Native","Prata","Coletada na Floresta Estadual de Assis, campo úmido, próximo à linha do trem.","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Cyperaceae","Cyperus","brasiliensis","(Kunth) Bauters","CYPERACEAE Cyperus brasiliensis (Kunth) Bauters","UEC176970","Splink","UEC","Dalbeto, A.C.","40","Native","Prata","Coletada na Floresta Estadual de Assis, campo úmido, próximo à linha do trem.","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Cyperaceae","Cyperus","haspan","L.","CYPERACEAE Cyperus haspan L.","SPSF00057707","Splink","SPSF","Pilon, N.","214","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Cyperaceae","Cyperus","laxus","Lam.","CYPERACEAE Cyperus laxus Lam.","SPSF00057701","Splink","SPSF","Pilon, N.","208","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Cyperaceae","Fimbristylis","dichotoma","(L.) Vahl","CYPERACEAE Fimbristylis dichotoma (L.) Vahl","SPSF00057741","Splink","SPSF","Pilon, N.","807","Native","Bronze","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Cyperaceae","Lagenocarpus","rigidus","Nees","CYPERACEAE Lagenocarpus rigidus Nees","UEC176971","Splink","UEC","Dalbeto, A.C.","42","Native","Prata","Coletada na Floresta Estadual de Assis, campo úmido, próximo à linha do trem.","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Cyperaceae","Rhynchospora","globosa","(Kunth) Roem. & Schult.","CYPERACEAE Rhynchospora globosa (Kunth) Roem. & Schult.","210758","GBIF","UEC","Dalbeto, A.C.","46","Native","Prata","Coletada na Floresta Estadual de Assis, campo úmido, próximo à linha do trem.","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Ericaceae","Gaylussacia","brasiliensis","(Spreng.) Meisn.","ERICACEAE Gaylussacia brasiliensis (Spreng.) Meisn.","SPSF00057709","Splink","SPSF","Pilon, N.","216","Native","Prata","Floresta Estadual de Assis","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Eriocaulaceae","Comanthera","xeranthemoides","(Bong.) L.R.Parra & Giul.","ERIOCAULACEAE Comanthera xeranthemoides (Bong.) L.R.Parra & Giul.","UEC176977","Splink","UEC","Dalbeto, A.C.","60","Native","Prata","Coletada na Floresta Estadual de Assis, campo úmido, próximo à linha do trem.","Não"
"FLORESTA ESTADUAL DE ASSIS","Angiosperms","Eriocaulaceae",,,"Martinov","ERIOCAULACEAE Eriocaulaceae Martinov","57708","GBIF","SPSF","Pilon, N.","215",,"Bronze","Floresta Estadual de Assis","Não"
