"","data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","institutionCode","phylum","basisOfRecord","collectionID","recordedBy","decimalLongitude","decimalLatitude","modified","locality","identifiedBy","specificepithet","scientificNameAuthorship","barcode","verbatimLatitude","verbatimLongitude","recordNumber","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","minimumelevationinmeters","maximumelevationinmeters","continentocean","preparationtype","order","individualcount","class","infraspecificepithet","fieldnumber","typeStatus","previouscatalognumber","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Mendoncia velloziana","speciesLink","SPSF","52684","Mendoncia velloziana","Plantae","Acanthaceae","Mendoncia","2017","05","25","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi & J.B. Baitello & N.M.Ivanauskas & S.F.O.Lima & M.F.Santos","-46.2475","-23.507222","2024-08-06T09:17:17","Estação Ecológica de Itapeti","L. Rossi","velloziana","Mart.","SPSF00052684",,,"3052","<nO>COLETA: Escandente; frutos castanho-esverdeados.; GEOGRAFIA: Trilha do Rato do Bambu. Área de pasto em regeneração.;</nO>",,,,,,,"América do Sul",,"Tubiflorae",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes",,,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3052","2017","Rossi, L.","n.d.","Baitello, J.B.; Ivanauskas, N.M.; Lima, S.F.O.; Santos, M.F.","Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Mendoncia velloziana","Mart.","possibly_ok","Acanthaceae","Mendoncia velloziana","Mart.","species","name accepted","bfo-4183",,,"Mendoncia velloziana Mart.","Mendoncia","Acanthaceae","medium","Mendoncia velloziana"
"Miconia latecrenata","speciesLink","SPSF","52676","Miconia latecrenata","Plantae","Melastomataceae","Miconia","2017","05","23","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L. Rossi et al.","-46.245","-23.515278","2024-08-06T09:15:32","Estação Ecológica de Itapeti","L. Rossi","latecrenata","((DC.) Naudin)","SPSF00052676",,,"3043","<nO>COLETA: Arbusto, 1m de altura, flores creme.; GEOGRAFIA: Área antropizada.;</nO>","2017","06","01",,,,"América do Sul",,"Myrtales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-01",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3043","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Miconia latecrenata","(DC.) Naudin","possibly_ok","Melastomataceae","Miconia latecrenata","(DC.) Naudin","species","author misspelled","bfo-9724",,,"Miconia latecrenata (DC.) Naudin","Miconia","Melastomataceae","medium","Miconia latecrenata"
"Mikania cordifolia","speciesLink","SPSF","52687","Mikania cordifolia","Plantae","Asteraceae","Mikania","2017","05","25","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi & J.B. Baitello & N.M.Ivanauskas & S.F.O.Lima & M.F.Santos","-46.245","-23.515278","2024-08-06T09:13:17","Estação Ecológica de Itapeti","R.S.Bianchini","cordifolia","(L.f.) Willd.","SPSF00052687",,,"3049","<nO>COLETA: Trepadeira; inflorescência esverdeada.; GEOGRAFIA: Floresta Ombrófila Densa Montana antropizada. Ao redor da sede.;</nO>",,,,,,,"América do Sul",,"Asterales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes",,,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3049","2017","Bianchini, R.S.","n.d.","Baitello, J.B.; Ivanauskas, N.M.; Lima, S.F.O.; Santos, M.F.","Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Mikania cordifolia","(L.f.) Willd.","possibly_ok","Asteraceae","Mikania cordifolia","(L.f.) Willd.","species","name accepted","bfo-5451",,,"Mikania cordifolia (L.f.) Willd.","Mikania","Asteraceae","low","Mikania cordifolia"
"Mimosa scabrella","speciesLink","SPSF","22003","Mimosa scabrella","Plantae","Fabaceae","Mimosa","1996","08","08","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","A.Custódio-Filho & G. A. D. C. Franco","-46.188301","-23.5228","2024-08-06T09:13:59","Estação Ecológica de Itapeti","A.P.Savassi-Coutinho","scabrella",,"SPSF00022003",,,"448/97","<nO>COLETA: XLS: SPSFAntigo&nf;Árvore 6m altura, flores amarelas.; GEOGRAFIA: Ao longo da estrada.;</nO>","2010","09","25","28666",,,"América do Sul",,"Fabales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2010-09-25",,,,,,,,,,,,,,,,,,"SPSF",,"Custodio Filho, A.","448/97","1996","Savassi-Coutinho, A.P.","2010","Franco, G.A.D.C.","Custodio Filho",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Mimosa scabrella","Benth.","possibly_ok","Fabaceae","Mimosa scabrella","Benth.","species","name accepted","bfo-100978",,,"Mimosa scabrella Benth.","Mimosa","Fabaceae","high","Mimosa scabrella"
"Mollinedia schottiana","gbif","PMSP","PMSP019239","Mollinedia schottiana (Spreng.) Perkins","Plantae","Monimiaceae","Mollinedia","2016","10","18","Brasil","São Paulo",,"PMSP","Tracheophyta","PRESERVED_SPECIMEN",,"L.Granato;R.J.F.Garcia,R.J.F. Garcia,L. Granato,B.G.Fries,B.G. Fries",,,,"Estação Ecológica do Itapeti.","E.H.P. Barretto",,"(Spreng.) Perkins",,,,"61","Arvoreta, 1,5 m alt., flores ferrugíneas.",,,,,,,,,"Laurales",,"Magnoliopsida",,,,,"GBIF","Mogi das Cruzes",,"Mollinedia umbellata (Spreng.) Tul.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5447806","BR",,,"2016-10-18",,,,,,"SYNONYM","SPECIES",,,"2016-10-18",,,,,,,,,,,,"brazil","sao paulo","mogi das cruzes","estacao ecologica do itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county","514152","2575944302",,,"CC_BY_4_0","Instituto de Pesquisas Jardim Botanico do Rio de Janeiro",,"PMSP",,,,,,"5447806",,,,,,,,,,,,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,"292","292",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3782943",,,,,,,,,,,,,,,,,"Mollinedia",,,"schottiana",,,,,,,,"4012b76b-7f81-4bd9-b887-6fd3e6a5588c","BR","2025-01-01 15:28:23.424",,,,,,"IDENTIFIED_DATE_INVALID;CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","StillImage",FALSE,FALSE,"7264509","3782943","6","7707728","220","407","2494","3034105",,"3782943","Mollinedia umbellata","Mollinedia schottiana (Spreng.) Perkins",,"EML","2025-01-01 15:28:23.424","2025-01-01 12:06:25.946",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA",,,,,,,,,"LC","jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/pmsp/pmsp/0/1/92/39/pmsp00019239.dzi",,,,,,,,,,,,,,,,,,,,,,,,"brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","brazil_sao paulo_mogi cruzes","Brazil","São Paulo","Mogi das Cruzes",,"ibge","check_local.2municip.","Mollinedia schottiana","(Spreng.) Perkins","name_w_authors","Monimiaceae","Mollinedia schottiana","(Spreng.) Perkins","species","name accepted","bfo-10101",,,"Mollinedia schottiana (Spreng.) Perkins","Mollinedia","Monimiaceae","unknown","Mollinedia schottiana"
"Myrsine coriacea","speciesLink","SPSF","52716","Myrsine coriacea","Plantae","Primulaceae","Myrsine","2017","05","25","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi et al","-46.2475","-23.507222","2024-08-06T09:13:33","Estação Ecológica de Itapeti","L.Rossi","coriacea","((Sw.) R.Br. ex Roem. & Schult.)","SPSF00052716",,,"3057","<nO>COLETA: Arbusto com aprox. 2m de altura. Flores passadas.; GEOGRAFIA: Trilha do Rato do Bambú. Área de pasto em regeneração.;</nO>","2017","06","30",,,,"América do Sul",,"Ericales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-30",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3057","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Myrsine coriacea","(Sw.) R.Br. ex Roem. & Schult.","possibly_ok","Primulaceae","Myrsine coriacea","(Sw.) R.Br. ex Roem. & Schult.","species","author misspelled","bfo-10228",,,"Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.","Myrsine","Primulaceae","medium","Myrsine coriacea"
"Peperomia catharinae","speciesLink","SPSF","52669","Peperomia catharinae","Plantae","Piperaceae","Peperomia","2017","05","22","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L. Rossi et al.","-46.244722","-23.514167","2024-08-06T09:16:14","Estação Ecológica de Itapeti","L. Rossi","catharinae","Miq.","SPSF00052669",,,"3004","<nO>COLETA: Erva sobre rocha, inflorescência ereta, verde clara.; GEOGRAFIA: Floresta Ombrófila densa montana, alterada. Trilha do Palmital;</nO>","2017","06","01",,,,"América do Sul",,"Piperales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-01",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3004","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Peperomia catharinae","Miq.","possibly_ok","Piperaceae","Peperomia catharinae","Miq.","species","name accepted","bfo-12629",,,"Peperomia catharinae Miq.","Peperomia","Piperaceae","medium","Peperomia catharinae"
"Peperomia urocarpa","speciesLink","SPSF","52668","Peperomia urocarpa","Plantae","Piperaceae","Peperomia","2017","05","22","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi et al","-46.244722","-23.514167","2024-08-06T09:16:14","Estação Ecológica de Itapeti","L. Rossi","urocarpa","(Fisch. & C.A.Mey.)","SPSF00052668",,,"3012","<nO>COLETA: Erva epífita, inflorescência creme - esverdeada.; GEOGRAFIA: Floresta Ombrófila densa montana, alterada. Trilha do Palmital;</nO>","2017","06","01",,,,"América do Sul",,"Piperales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-01",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3012","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Peperomia urocarpa","Fisch. & C.A.Mey.","possibly_ok","Piperaceae","Peperomia urocarpa","Fisch. & C.A.Mey.","species","author misspelled","bfo-12732",,,"Peperomia urocarpa Fisch. & C.A.Mey.","Peperomia","Piperaceae","medium","Peperomia urocarpa"
"Pharus lappulaceus","speciesLink","SPSF","52717","Pharus lappulaceus","Plantae","Poaceae","Pharus","2017","05","25","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi et al","-46.242778","-23.505278","2024-08-06T09:12:51","Estação Ecológica de Itapeti","R.S.Rodrigues","lappulaceus","Aubl.","SPSF00052717",,,"3069","<nO>COLETA: Erva terrestre. Frutos aderentes.; GEOGRAFIA: Floresta Ombrófila Densa Montana, alterada. Trilha do Compressor.;</nO>","2017","06","13",,,,"América do Sul",,"Poales",,"Liliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-13",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3069","2017","Rodrigues, R.S.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Pharus lappulaceus","Aubl.","possibly_ok","Poaceae","Pharus lappulaceus","Aubl.","species","name accepted","bfo-13520",,,"Pharus lappulaceus Aubl.","Pharus","Poaceae","low","Pharus lappulaceus"
"Picramnia glazioviana","speciesLink","SPSF","52706","Picramnia glazioviana","Plantae","Simaroubaceae","Picramnia","2017","05","22","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi et al","-46.244722","-23.514167","2024-08-06T09:17:01","Estação Ecológica de Itapeti","L.Rossi","glazioviana","(Engl.)","SPSF00052706",,,"3007","<nO>COLETA: Árvore com 4m de altura. Frutos na cor vermelho-alaranjado.; GEOGRAFIA: Floresta Ombrófila Densa Montana, alterada. Trilha do Palmital.;</nO>","2017","06","30",,,,"América do Sul",,"Sapindales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-30",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3007","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Picramnia glazioviana","Engl.","possibly_ok","Picramniaceae","Picramnia glazioviana","Engl.","species","author misspelled","bfo-12598",,,"Picramnia glazioviana Engl.","Picramnia","Picramniaceae","medium","Picramnia glazioviana"
"Piper bowiei","speciesLink","SPSF","52665","Piper bowiei","Plantae","Piperaceae","Piper","2017","05","23","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L. Rossi et al.","-46.245278","-23.514722","2024-08-06T09:16:14","Estação Ecológica de Itapeti","L. Rossi","bowiei","Yunck.","SPSF00052665",,,"3029","<nO>COLETA: Árvore pequena, 3m de altura, inflorescência creme, pendente.; GEOGRAFIA: Floresta Ombrófila densa montana, alterada. Trilha do Sagui;</nO>","2017","06","01",,,,"América do Sul",,"Piperales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-01",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3029","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Piper bowiei","Yunck.","possibly_ok","Piperaceae","Piper bowiei","Yunck.","species","name accepted","bfo-12752",,,"Piper bowiei Yunck.","Piper","Piperaceae","medium","Piper bowiei"
"Piper caldense","speciesLink","SPSF","52719","Piper caldense","Plantae","Piperaceae","Piper","2017","05","23","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L.Rossi et al","-46.245278","-23.514722","2024-08-06T09:16:14","Estação Ecológica de Itapeti",,"caldense","C.DC.","SPSF00052719",,,"3030","<nO>COLETA: Arbusto com 2m de altura. Caule pintalgado, com nós vináceos.; GEOGRAFIA: Floresta Ombrófila Densa Montana, alterada. Trilha do Sagui.;</nO>",,,,,,,"América do Sul",,"Piperales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes",,,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3030","2017","s.n.","n.d.",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Piper caldense","C.DC.","possibly_ok","Piperaceae","Piper caldense","C.DC.","species","name accepted","bfo-12756",,,"Piper caldense C.DC.","Piper","Piperaceae","unknown","Piper caldense"
"Piper cernuum","speciesLink","SPSF","52666","Piper cernuum","Plantae","Piperaceae","Piper","2017","05","22","Brasil","SP","Mogi das Cruzes","IF","Magnoliophyta","PreservedSpecimen","13","L. Rossi et al.","-46.244722","-23.514167","2024-08-06T09:16:14","Estação Ecológica de Itapeti","L.Rossi","cernuum","Vell.","SPSF00052666",,,"3005","<nO>COLETA: Arbusto, 3m de altura, folhas jovens avermelhadas, inflorescência creme.; GEOGRAFIA: Floresta Ombrófila densa montana, alterada. Trilha do Palmital.;</nO>","2017","06","01",,,,"América do Sul",,"Piperales",,"Magnoliopsida",,,,,"SPLINK","Mogi das Cruzes","2017-06-01",,,,,,,,,,,,,,,,,,"SPSF",,"Rossi, L.","3005","2017","Rossi, L.","2017",,"Rossi",,"brazil","sao paulo","mogi das cruzes","estacao ecologica de itapeti",,"locality","brazil_sao paulo_mogi cruzes","brazil_sao paulo_mogi cruzes",-23.56921402,-46.18619521,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Piper cernuum","Vell.","possibly_ok","Piperaceae","Piper cernuum","Vell.","species","name accepted","bfo-12759",,,"Piper cernuum Vell.","Piper","Piperaceae","medium","Piper cernuum"
