"Nome.da.UC","NumRecords","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumOuro","NumPrata","NumBronze","NumLatao","NumNoMatch"
"PARQUE ESTADUAL ALBERTO LÖFGREN",735,389,382,277,111,64,20,169,136,4
"PARQUE ESTADUAL ARA",20,17,17,17,15,5,2,9,1,0
"PARQUE ESTADUAL CAMPINA DO ENCANTADO",593,151,149,108,58,70,5,46,30,1
"PARQUE ESTADUAL CAMPOS DO JORDÃO",7807,1396,1305,658,203,581,115,459,241,48
"PARQUE ESTADUAL CANTAREIRA",7143,1638,1575,855,239,513,33,643,449,45
"PARQUE ESTADUAL CARLOS BOTELHO",9129,1203,1162,544,152,457,96,442,208,15
"PARQUE ESTADUAL CAVERNA DO DIABO",1604,493,455,333,150,98,8,185,202,3
"PARQUE ESTADUAL FONTES DO IPIRANGA",24798,2957,2862,1278,256,1268,67,1267,355,150
"PARQUE ESTADUAL FURNAS DO BOM JESUS",2731,812,793,425,121,288,70,344,110,10
"PARQUE ESTADUAL ILHA ANCHIETA",2308,620,591,400,129,183,8,315,114,67
"PARQUE ESTADUAL ILHA DO CARDOSO",18049,2117,2053,916,230,856,68,1035,158,184
"PARQUE ESTADUAL ILHABELA",736,355,336,244,106,62,12,189,92,97
"PARQUE ESTADUAL INTERVALES",5166,1112,1074,563,179,412,63,423,214,16
"PARQUE ESTADUAL ITABERABA",431,130,122,95,61,5,4,94,27,2
"PARQUE ESTADUAL ITAPETINGA",66,51,49,45,24,13,1,30,7,0
"PARQUE ESTADUAL ITINGUÇU",130,32,32,23,16,16,0,12,4,0
"PARQUE ESTADUAL JARAGUÁ",1048,406,399,269,94,139,111,141,15,4
"PARQUE ESTADUAL JUQUERY",1802,492,472,261,72,116,33,241,102,3
"PARQUE ESTADUAL JURUPARÁ",437,181,176,119,60,91,5,40,45,1
"PARQUE ESTADUAL LAGAMAR DE CANANEIA",383,184,160,153,77,52,5,61,66,1
"PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO",173,92,84,73,31,12,30,36,14,1
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS",76,42,40,30,11,2,0,40,0,41
"PARQUE ESTADUAL MORRO DO DIABO",3720,646,594,407,156,300,14,248,84,12
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA",177,111,104,89,49,30,15,34,32,1
"PARQUE ESTADUAL PORTO FERREIRA",1312,500,487,305,100,183,18,249,50,2
"PARQUE ESTADUAL PRELADO",27,15,15,15,14,1,6,6,2,0
"PARQUE ESTADUAL RESTINGA DE BERTIOGA",2147,661,651,402,139,175,27,368,91,10
"PARQUE ESTADUAL RIO PEIXE",3,2,2,2,2,0,0,1,1,0
"PARQUE ESTADUAL RIO TURVO",930,384,372,237,96,121,7,184,72,3
"PARQUE ESTADUAL SERRA DO MAR",48400,4192,4060,1345,273,1643,119,1847,583,146
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA",3098,762,733,385,139,187,67,453,55,7
"PARQUE ESTADUAL VASSUNUNGA",2163,594,583,354,111,176,29,311,78,5
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ",1003,374,363,286,98,80,25,164,105,77
"PARQUE NACIONAL SERRA DA BOCAINA",1443,451,418,252,95,203,5,187,56,5
"PARQUE NATURAL MUNICIPAL AUGUSTO RUSCHI",2,2,2,2,2,1,0,1,0,0
"PARQUE NATURAL MUNICIPAL BANHADO",1,1,1,1,1,0,0,0,1,0
"PARQUE NATURAL MUNICIPAL BASALTO",12,1,1,1,1,0,0,1,0,0
"PARQUE NATURAL MUNICIPAL BORORÉ",128,61,61,54,36,3,7,49,2,0
"PARQUE NATURAL MUNICIPAL BRIGADEIRO TOBIAS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL CABECEIRAS DO ARICANDUVA",39,26,26,23,15,7,10,9,0,0
"PARQUE NATURAL MUNICIPAL CACHOEIRA DA MARTA",123,109,106,91,45,5,0,102,2,0
"PARQUE NATURAL MUNICIPAL CAMPO GRANDE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL CERRADO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE",17,16,13,15,14,0,0,2,14,0
"PARQUE NATURAL MUNICIPAL COTIA-PARÁ",3,3,3,3,3,0,0,1,2,0
"PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA",103,39,39,35,25,11,5,22,1,0
