"","data_source","barcode","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","continentocean","county","locality","institutionCode","phylum","basisOfRecord","preparationtype","verbatimLatitude","verbatimLongitude","collectionID","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","minimumelevationinmeters","maximumelevationinmeters","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","specificepithet","coordinatePrecision","order","class","dayIdentified","infraspecificepithet","previouscatalognumber","individualcount","fieldnumber","relatedcatalogitem","typeStatus","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Justicia","gbif",,"SHPR","1462","Justicia L.","Plantae","Acanthaceae","Justicia","2020","12","31","Brasil","São Paulo",,,"Estação Ecológica Bananal","UTFPR-SL","Tracheophyta","PRESERVED_SPECIMEN",,,,"https://specieslink.net/col/667","Biral, L.;P.A. Freitas","-44.367778","-22.806111","2021-06-07 18:26:15",,"2530",,,"Herbácea, cálice e corola rosados.Habitat: Floresta ombrófila densa montana",,,,,,"Lamiales","Magnoliopsida",,,,,,,,"GBIF","Bananal",,"Justicia L.",,"BR",,,"2020-12-31",,,,,,"ACCEPTED","GENUS",,,,,,,,,,,,,,,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality","668314","3019516349",,,"CC_BY_4_0","Universidade Tecnológica Federal do Paraná - Campus Santa Helena","https://specieslink.net/guid/667/1462","Herbário da Universidade Tecnológica Federal do Paraná (UTFPR), campus Santa Helena",,"Universidade Tecnológica Federal do Paraná - Campus Santa Helena",,,,"https://specieslink.net/guid/667/1462",,,,,,,,,,,,,,,"PRESENT","exsicata",,,,,,,,,,,,,,,,,,,,,,"366","366",,,,,,,,,"SOUTH_AMERICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2904597",,,,,,,,,,,,,,,,,"Justicia",,,,,,,,,,,"a776a61d-f01e-4a8e-8fb0-c69d08795118","BR","2025-01-05 14:56:21.341",,,,,,"INSTITUTION_MATCH_NONE",,TRUE,FALSE,"2904597","2904597","6","7707728","220","408","2393","2904597",,,,"Justicia",,"EML","2025-01-05 14:56:21.341","2025-01-05 14:56:07.816",FALSE,,"null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","BRA","Brazil","BRA.25_1","São Paulo","BRA.25.56_2","Bananal",,,"NE",,,,,,"WGS84",,,,,,,,,,,,,,,,,,,"brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","brazil_sao paulo_bananal_eec bananal","Brazil","São Paulo","Bananal","EEc Bananal","treeco","ok_same_resolution","Justicia","L.","name_w_authors","Acanthaceae","Justicia","L.","genus","name accepted","bfo-4137",,,"Justicia L.","Justicia","Acanthaceae","unknown",
"Leandra acutiflora","speciesLink","SHPR001451","SHPR","1451","Leandra acutiflora","Plantae","Melastomataceae","Leandra","2020","12","30","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:17","(Naudin) Cogn.","2519",,,"<nO>Árvore, frutos imaturos verdes.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","acutiflora",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2519","2020","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Leandra acutiflora","(Naudin) Cogn.","possibly_ok","Melastomataceae","Leandra acutiflora","(Naudin) Cogn.","species","name accepted","bfo-9498",,,"Leandra acutiflora (Naudin) Cogn.","Leandra","Melastomataceae","low","Leandra acutiflora"
"Lellingeria apiculata","speciesLink","SHPR001443","SHPR","1443","Lellingeria apiculata","Plantae","Polypodiaceae","Lellingeria","2020","12","30","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Monilophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:19","(Kunze ex Klotzsch) A.R. Sm. & R.C. Moran","2511",,,"<nO>Herbácea, epífita.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","apiculata",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2511","2020","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Lellingeria apiculata","(Kunze ex Klotzsch) A.R.Sm. & R.C.Moran","possibly_ok","Polypodiaceae","Lellingeria apiculata","(Kunze ex Klotzsch) A.R.Sm. & R.C.Moran","species","author misspelled","bfo-91612",,,"Lellingeria apiculata (Kunze ex Klotzsch) A.R.Sm. & R.C.Moran","Lellingeria","Polypodiaceae","low","Lellingeria apiculata"
"Manihot grahamii","user",,"HURB","HURB000030405","Manihot grahamii Hook.",,"Euphorbiaceae","Manihot","2021","01","02","Brasil","São Paulo",,,"Estrada de terra Sertão do Ariró, sentido Rio Claro (RJ),. após a Estação Ecológica Bananal.","HURB",,,,"1200º 0' 0"""" N","22º 0' 0"""" E",,"Biral, L.","22","1200",,"Hook.","2632",,,,"Biral, L.",,,,,,,,,,,,,"não","REFLORA","Bananal","--/10/2021",,,,,,,"Arvoreta, 2,5 m de altura, látex branco, frutos verdes.",,,,,,"SPECIES",,"1200",,,,,,,,,,,,,"brazil","sao paulo","bananal","estrada de terra sertao do ariro, apos a estacao ecologica bananal",,"locality","brazil_sao paulo_bananal","brazil_sao paulo_bananal",-22.73353405,-44.33438939,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"grahamii","EUPHORBIACEAE Manihot grahamii Hook.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"HURB",,"HURB 30405",,"P.A. Freitas","02/01/2021",,"1200","METRO",,,,,,,,"brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge","brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge","brazil_sao paulo_bananal","Brazil","São Paulo","Bananal",,"ibge","check_local.2municip.","Manihot grahamii","Hook.","name_w_authors","Euphorbiaceae","Manihot grahamii","Hook.","species","name accepted","bfo-36143",,,"Manihot grahamii Hook.","Manihot","Euphorbiaceae","high","Manihot grahamii"
"Maxillaria ochroleuca","speciesLink","SHPR001490","SHPR","1490","Maxillaria ochroleuca","Plantae","Orchidaceae","Maxillaria","2020","12","31","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:17","Lodd. ex Lindl.","2558",,,"<nO>Epífita, perianto branco esverdeado, ginostégio amarelo.Habitat: Floresta ombrófila densa montana</nO>","G. Marcusso (por foto)","2021","01","ochroleuca",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2558","2020","Marcusso, G.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Maxillaria ochroleuca","Lodd. ex Lindl.","possibly_ok","Orchidaceae","Maxillaria ochroleuca","Lodd. ex Lindl.","species","name accepted","bfo-11832",,,"Maxillaria ochroleuca Lodd. ex Lindl.","Maxillaria","Orchidaceae","low","Maxillaria ochroleuca"
"Melastomataceae","speciesLink","SHPR001514","SHPR","1514","Melastomataceae","Plantae","Melastomataceae",,"2021","01","01","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:17","Juss.","2581",,,"<nO>Herbácea, tricomas vermelhos, flores brancas, androceu amarelo.Habitat: Floresta ombrófila densa montana</nO>",,,,,,,,,,,,,,,"SPLINK","Bananal",,,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2581","2021","s.n.","n.d.","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Melastomataceae","A.Juss.","family_as_genus","Melastomataceae","Melastomataceae","A.Juss.","family","author misspelled","bfo-161",,,"Melastomataceae A.Juss.",,"Melastomataceae","unknown",
"Menispermaceae","speciesLink","SHPR001495","SHPR","1495","Menispermaceae","Plantae","Menispermaceae",,"2020","12","31","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:17",,"2563",,,"<nO>Trepadeira, frutos imaturos verdes.Habitat: Floresta ombrófila densa montana</nO>",,,,,,,,,,,,,,,"SPLINK","Bananal",,,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2563","2020","s.n.","n.d.","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Menispermaceae","A.Juss.","family_as_genus","Menispermaceae","Menispermaceae","A.Juss.","family","name accepted","bfo-163",,,"Menispermaceae A.Juss.",,"Menispermaceae","unknown",
"Miconia theaezans","speciesLink","SHPR001467","SHPR","1467","Miconia theaezans","Plantae","Melastomataceae","Miconia","2020","12","31","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:17","(Bonpl.) Cogn.","2535",,,"<nO>Arvoreta, flores brancas.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","theaezans",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2535","2020","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Miconia theaezans","(Bonpl.) Cogn.","possibly_ok","Melastomataceae","Miconia theaezans","(Bonpl.) Cogn.","species","name accepted","bfo-9773",,,"Miconia theaezans (Bonpl.) Cogn.","Miconia","Melastomataceae","low","Miconia theaezans"
"Microgramma squamulosa","speciesLink","SHPR001437","SHPR","1437","Microgramma squamulosa","Plantae","Polypodiaceae","Microgramma","2020","12","30","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Monilophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:19","(Kaulf.) de la Sota","2505",,,"<nO>EpífitaHabitat: Floresta ombrófila densa montana</nO>","L. Biral","2020","12","squamulosa",,,,,,,,,,,"SPLINK","Bananal","2020-12-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2505","2020","Biral, L.","2020","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Microgramma squamulosa","(Kaulf.) de la Sota","possibly_ok","Polypodiaceae","Microgramma squamulosa","(Kaulf.) de la Sota","species","name accepted","bfo-91669",,,"Microgramma squamulosa (Kaulf.) de la Sota","Microgramma","Polypodiaceae","low","Microgramma squamulosa"
"Monteverdia glaucescens","speciesLink","SHPR001516","SHPR","1516","Monteverdia glaucescens","Plantae","Celastraceae","Monteverdia","2021","01","01","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:15","(Reissek) Biral","2583",,,"<nO>Arbusto, 1,7 m de altura, frutos imaturos verdes, amadurecendo amarelados.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","glaucescens",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2583","2021","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Monteverdia glaucescens","(Reissek) Biral","possibly_ok","Celastraceae","Monteverdia glaucescens","(Reissek) Biral","species","name accepted","bfo-604604",,,"Monteverdia glaucescens (Reissek) Biral","Monteverdia","Celastraceae","high","Monteverdia glaucescens"
"Monteverdia gonoclada","speciesLink","SHPR001522","SHPR","1522","Monteverdia gonoclada","Plantae","Celastraceae","Monteverdia","2021","01","01","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:15","(Mart.) Biral","2589",,,"<nO>Árvore, 4 m de altura, frutos imaturos verdes.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","gonoclada",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2589","2021","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Monteverdia gonoclada","(Mart.) Biral","possibly_ok","Celastraceae","Monteverdia gonoclada","(Mart.) Biral","species","name accepted","bfo-605640",,,"Monteverdia gonoclada (Mart.) Biral","Monteverdia","Celastraceae","high","Monteverdia gonoclada"
"Moranopteris achilleifolia","speciesLink","SHPR001458","SHPR","1458","Moranopteris achilleifolia","Plantae","Polypodiaceae","Moranopteris","2020","12","31","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:18","(Kaulf.) R.Y. Hirai & J. Prado","2526",,,"<nO>Epífita.Habitat: Floresta ombrófila densa montana</nO>","G. Marcusso","2021","01","achilleifolia",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2526","2020","Marcusso, G.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Moranopteris achilleifolia","(Kaulf.) R.Y. Hirai & J. Prado","possibly_ok","Polypodiaceae","Moranopteris achilleifolia","(Kaulf.) R.Y. Hirai & J. Prado","species","name accepted","bfo-91675",,,"Moranopteris achilleifolia (Kaulf.) R.Y. Hirai & J. Prado","Moranopteris","Polypodiaceae","low","Moranopteris achilleifolia"
"Myrsine lineata","speciesLink","SHPR001535","SHPR","1535","Myrsine lineata","Plantae","Primulaceae","Myrsine","2021","01","01","Brasil","São Paulo","América do Sul","Bananal","Estação Ecológica Bananal","UTFPR-SL","Anthophyta","PreservedSpecimen","exsicata","22°48'22"" S","44°22'04"" W","667","Biral, L. | P.A. Freitas","-44.367778","-22.806111","2021-06-07T18:26:18","(Mez) Imkhan.","2602",,,"<nO>Arvoreta, botões rosa-esbranquiçados, corola branca.Habitat: Floresta ombrófila densa montana</nO>","L. Biral","2021","01","lineata",,,,,,,,,,,"SPLINK","Bananal","2021-01-NA",,,,,,,,,,,,,,,,,,"SHPR",,"Biral, L.","2602","2021","Biral, L.","2021","Freitas, P.A.","Biral",,"brazil","sao paulo","bananal","estacao ecologica bananal",,"locality","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal",-22.806676,-44.36611,"locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ok_same_resolution","Myrsine lineata","(Mez) Imkhan.","possibly_ok","Primulaceae","Myrsine lineata","(Mez) Imkhan.","species","name accepted","bfo-10235",,,"Myrsine lineata (Mez) Imkhan.","Myrsine","Primulaceae","low","Myrsine lineata"
