"Nome_UC","Localidade","Municipio","Estado","Freq"
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","Trilha das sete quedas","Campos do Jordão","São Paulo",209
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","Serra da Mantiqueira","Pindamonhangaba","São Paulo",194
"ÁREA DE PROTEÇÃO AMBIENTAL CAMPOS DO JORDÃO","serra da mantiqueira, pico do itapeva","Pindamonhangaba","São Paulo",176
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ","Fazenda Pedra Vermelha","Analândia","São Paulo",1221
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ","reserva de cerrado da unesp","Corumbataí","São Paulo",658
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ","Cerrado","Itirapina","São Paulo",595
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ","18km north of botucatu","Botucatu","São Paulo",570
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ","serra do cuscuzeiro","Analândia","São Paulo",540
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ","Estação Experimental de Itirapina","Itirapina","São Paulo",364
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ","Itirapina","Itirapina","São Paulo",277
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ","rodovia washington luiz","Itirapina","São Paulo",259
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ","Pedra Vermelha","Analândia","São Paulo",226
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ","Reserva de Cerrado da UNESP. Alt. 793-866m","Corumbataí","São Paulo",225
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ","Alt","Corumbataí","São Paulo",225
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ","793-866m","Corumbataí","São Paulo",225
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI","fazenda mac","Botucatu","São Paulo",186
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI","Condomínio Atiaia","Botucatu","São Paulo",132
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI","Fazenda Águas de Janeiro","Pardinho","São Paulo",124
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI","parque ecologico pavuna","botucatu","São Paulo",122
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI","fazenda mac e 4 meninas","Botucatu","São Paulo",104
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI","Fazenda Quilombaria","Bofete","São Paulo",97
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI","fazenda experimental edgardia","Botucatu","São Paulo",93
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI","Demétria","Botucatu","São Paulo",89
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI","à 20km de Botucatu","Botucatu","São Paulo",68
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI","fazenda 4 meninas e mac","Botucatu","São Paulo",60
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI","circa 6 km de itatinga em direcao a angatuba","Angatuba","São Paulo",60
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI","Bairro Demétria, Condomínio Atiaia, rua principal de terra","Botucatu","São Paulo",60
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI","Bairro Demétria, Condomínio Atiaia, trilha","Botucatu","São Paulo",58
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","fazenda domiciana","Timburi","São Paulo",126
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","Gruta das Águas Virtuosas","Tejupá","São Paulo",43
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","estrada rural do bairro areia alta","Timburi","São Paulo",43
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","vizinha da Estação Ecológica de Santa Bárbara","Águas de Santa Bárbara","São Paulo",42
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","Coletada na em campo úmido Fazenda Tabaroa, vizinha da Estação Ecológica de Santa Bárbara","Águas de Santa Bárbara","São Paulo",42
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","Coletada na Estação Ecológica de Santa Bárbara","Águas de Santa Bárbara","São Paulo",38
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","Fazenda Palmital","Timburi","São Paulo",36
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","Gruta das Águas Virtuosas, Taquaras","Tejupá","São Paulo",32
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","Lajeado de afloramento basáltico vesicular","Timburi","São Paulo",31
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","Fazenda Dominiciana","Timburi","São Paulo",19
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","barramento próximo à Rod","Águas de Santa Bárbara","São Paulo",19
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","Presidente","Águas de Santa Bárbara","São Paulo",17
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","Coletada na Estação Ecológica de Santa Bárbara, em campo úmido, barramento próximo à Rod. Presidente","Águas de Santa Bárbara","São Paulo",17
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","Taquaras, gruta das Águas Virtuosas","","São Paulo",10
"ÁREA DE PROTEÇÃO AMBIENTAL CUESTA PARAPANEMA","taquaras","São Paulo","São Paulo",10
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","Serra do Guararu","Guarujá","São Paulo",441
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","Guararu","Guarujá","São Paulo",439
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","condomínio Iporanga","Guarujá","São Paulo",396
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","área B","Guarujá","São Paulo",104
"ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SANTO AMARO","área C","Guarujá","São Paulo",91
