"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Fabaceae","Platymiscium","floribundum","Vogel","FABACEAE Platymiscium floribundum Vogel","163512","GBIF","UEC","Silva, E.D.","1126","Native","Bronze","Núcleo Picinguaba Parque Estadual da Serra do Mar.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Lamiaceae","Plectranthus","amboinicus","(Lour.) Spreng.","LAMIACEAE Plectranthus amboinicus (Lour.) Spreng.","SPSF00055791","Splink","SPSF","Braga, S.","32",,"Bronze","Parque Estadual Serra do Mar - Núcleo Picinguaba","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Polypodiaceae","Pleopeltis","angusta","Humb. & Bonpl. ex Willd.","POLYPODIACEAE Pleopeltis angusta Humb. & Bonpl. ex Willd.","UEC067625","Splink","UEC","Salino, A.","2510","Unknown","Bronze","Parque Estadual Serra do Mar, Estrada para Taubaté.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Polypodiaceae","Pleopeltis","astrolepis","(Liebm.) E.Fourn.","POLYPODIACEAE Pleopeltis astrolepis (Liebm.) E.Fourn.","CESJ057421","Splink","CESJ","Salino, A.","6176","Native","Bronze","Parque Estadual da Serra do Mar, Núcleo Santa Virgínia, Trilha da Pirapitinga. 23º20'29"" S, 45º08'48"" W; entre 900 e 950m de altitude.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Polypodiaceae","Pleopeltis","desvauxii","(Klotzsch) Salino","POLYPODIACEAE Pleopeltis desvauxii (Klotzsch) Salino","CESJ057019","Splink","CESJ","Salino, A.","6693","Native","Bronze","Parque Estadual da Serra do Mar, Núcleo Picinguaba, Trilha do Picadão da Barra. Ao nível do mar.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Polypodiaceae","Pleopeltis","furcata","(L.) A.R.Sm.","POLYPODIACEAE Pleopeltis furcata (L.) A.R.Sm.","UEC028399","Splink","UEC","Nobrega, G.A.","781","Native","Bronze","Parque Estadual da Serra do Mar Restinga, parcela A.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Polypodiaceae","Pleopeltis","macrocarpa","(Bory ex Willd.) Kaulf.","POLYPODIACEAE Pleopeltis macrocarpa (Bory ex Willd.) Kaulf.","CESJ057487","Splink","CESJ","Salino, A.","6175","Native","Bronze","Parque Estadual da Serra do Mar, Núcleo Santa Virgínia, Trilha da Pirapitinga. Entre 900 e 950m de altitude, 23º20'29"" S, 45º08'48"" W.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Polypodiaceae","Pleopeltis","pleopeltifolia","(Raddi) Alston","POLYPODIACEAE Pleopeltis pleopeltifolia (Raddi) Alston","UEC028402","Splink","UEC","Nobrega, G.A.","549","Native","Bronze","Parque Estadual da Serra do Mar Núcleo Picinguaba, fazenda Capricórnio, parcela H.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Melastomataceae","Pleroma","andersregnellii","P.J.F.Guim. & Michelang.","MELASTOMATACEAE Pleroma andersregnellii P.J.F.Guim. & Michelang.","314330","Splink","SP","Chukr, N.S.","567","Native","Bronze","Parque Estadual da Serra do Mar, Núcleo Curucutu. Caminho para o Mirante","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Melastomataceae","Pleroma","granulosum","(Desr.) D. Don","MELASTOMATACEAE Pleroma granulosum (Desr.) D. Don","MBM251516","Splink","MBM","Franco, G.","2903","Native","Bronze","Parque Estadual da Serra do Mar.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Melastomataceae","Pleroma","oleifolium","(DC.) R. Romero & Versiane","MELASTOMATACEAE Pleroma oleifolium (DC.) R. Romero & Versiane","UEC122132","Splink","UEC","Baitello, J.B.","425","Native","Bronze","Parque Estadual da Serra do Mar - Estrad","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Melastomataceae","Pleroma","thereminianum","(DC.) Triana","MELASTOMATACEAE Pleroma thereminianum (DC.) Triana","SPF00165330","Splink","SPF","Affonso, P.","386","Native","Bronze","Parque Estadual da Serra do Mar, X= 321294 Y=7345912.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Cyperaceae","Pleurostachys","densefoliata","H. Pfeiff.","CYPERACEAE Pleurostachys densefoliata H. Pfeiff.","350879","Splink","SP","Bianchini, R.S.","1426",,"Bronze","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Trilha da Mococa","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Cyperaceae","Pleurostachys","densifoliata","H.Pfeiff.","CYPERACEAE Pleurostachys densifoliata H.Pfeiff.","SPF00150672","Splink","SPF","Simao-Bianchini, R.","1456",,"Bronze","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Trilha da Mococa.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Orchidaceae",,,,"ORCHIDACEAE Pleurothallidinae sp.","UEC001208","Splink","UEC","Nunes, C.E.P.","2014/31",,"Bronze","Trilha do Pau de Bala, Núcleo Santa Virgínia, Parque Estadual da Serra do Mar","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Orchidaceae","Pleurothallis",,"R.Br.","ORCHIDACEAE Pleurothallis R.Br.","UEC001789","Splink","UEC","Singer, R.B.","2000/17",,"Bronze","Parque Estadual da Serra do Mar, Caminho do Morro do Cuscuzeiro.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Myrtaceae","Plinia","delicata","Antunes et al.","MYRTACEAE Plinia delicata Antunes et al.","SORO009569","Splink","SORO","Gaem, P.H.","275","Native","Bronze","Estrada do Paraibuna sentido Parque Estadual da Serra do Mar - Núcleo Cunha","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Myrtaceae","Plinia","edulis","(Vell.) Sobral","MYRTACEAE Plinia edulis (Vell.) Sobral","50378","Splink","IAC","Gomes, J.A.M.A.","584","Native","Bronze","Fazenda Capricórnio, parcela I (Parque Estadual da Serra do Mar, Núcleo Picinguaba)","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Myrtaceae","Plinia","rivularis","(Cambess.) Rotman","MYRTACEAE Plinia rivularis (Cambess.) Rotman","50379","Splink","IAC","Gomes, J.A.M.A.","585","Native","Bronze","Fazenda Capricórnio, Parcela I (Parque Estadual da Serra do Mar, Núcleo Picinguaba)","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Angiosperms","Orchidaceae","Pogoniopsis","schenckii","Cogn.","ORCHIDACEAE Pogoniopsis schenckii Cogn.","UEC139077","Splink","UEC","Flores-Borges, D.N.A.","1","Native","Bronze","PARQUE ESTADUAL DA SERRA DO MAR","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Dryopteridaceae","Polybotrya","tomentosa","Brade","DRYOPTERIDACEAE Polybotrya tomentosa Brade","CESJ074067","Splink","CESJ","Moraes, P.L.R.","5124","Native","Bronze","Parque Estadual da Serra do Mar, Núcleo Cunha, trilha das Cachoeiras","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Hymenophyllaceae","Polyphlebium","diaphanum","(Kunth) Ebihara & Dubuisson","HYMENOPHYLLACEAE Polyphlebium diaphanum (Kunth) Ebihara & Dubuisson","HUCS001389","Splink","HUCS","Peralta, D.F.","s.n.","Native","Bronze","Parque Estadual da Serra do Mar, Nucleo Cunha, trilha do Rio Paraibuna","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Hymenophyllaceae","Polyphlebium","hymenophylloides","(Bosch) Ebihara & Dubuisson","HYMENOPHYLLACEAE Polyphlebium hymenophylloides (Bosch) Ebihara & Dubuisson","CESJ067654","Splink","CESJ","Salino, A.","5334","Native","Bronze","Parque Estadual da Serra do Mar, trilha das cachoeiras do Ribeirão Itu.","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Fungi","Polypodiaceae","Polyporus","guianensis","Mont.","POLYPODIACEAE Polyporus guianensis Mont.","197286","Splink","ICN","Linhares, F.","165","Unknown","Bronze","Parque Estadual Serra do Mar","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Polypodiaceae",,,,"POLYPODIACEAE Polyporus sp.","197391","Splink","ICN","Reck, M.","1224",,"Bronze","Parque Estadual da Serra do Mar","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Dryopteridaceae","Polystichum","platylepis","Fée","DRYOPTERIDACEAE Polystichum platylepis Fée","CESJ073989","Splink","CESJ","Moraes, P.L.R.","5106","Native","Bronze","Parque Estadual da Serra do Mar, Núcleo Cunha; trilha das Cachoeiras","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Pteridaceae","Polytaenium","cajenense","(Desv.) Benedict","PTERIDACEAE Polytaenium cajenense (Desv.) Benedict","65042","Splink","BHCB","Salino, A.","7789","Native","Bronze","Parque Estadual da Serra do Mar, Núcleo de Picinguaba","Não"
"PARQUE ESTADUAL DA SERRA DO MAR","Ferns and Lycophytes","Pteridaceae","Polytaenium","citrifolium","(L.) Schuettp.","PTERIDACEAE Polytaenium citrifolium (L.) Schuettp.","UEC092310","Splink","UEC","Nobrega, G.A.","495","Native","Bronze","Fazenda Capricórnio Parque Estadual da Serra do Mar, parcela I.","Não"
