datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	verbatimlatitude	verbatimlongitude	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited
2024-10-01T08:34:21	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	57127	Plantae				Fabaceae	Platypodium	elegans		Platypodium elegans	Vogel		2002	10	07	M.A.Assis; A.G.Manzatto	1596				M.A.Assis	2002	10			Rio Claro	Fazenda São José.	-23.683361	-46.934425	-46.934425	-23.683361													<nO>Árvore ca. 10 m. Flores amarelas. Frutos secos.; Mata mesófila semidecídua.</nO>	MAC0057127					
2023-01-13T12:23:54	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	23582	Plantae				Fabaceae	Senegalia	tenuifolia		Senegalia tenuifolia	(L.) Britton & Rose		1999	04	24	S.A.Nicolau; et al.	2365				P.S.Ribeiro	2013	06	13		Luiz Antônio	Várzea do Jenipapo., Várzea do Jenipapo.	-21.935694	-48.191436	-48.191436	-21.935694													<nO>Arbusto escandente. Frutos verdes.</nO>	MAC0023582					
2023-01-13T12:24:01	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	57118	Plantae				Fabaceae	Senna	occidentalis		Senna occidentalis	(L.) Link		1998	12	16	J.L.S.Tannus; M.A.Assis; L.S.Zunmstein; C.M.Patreze; D.M.Conceição	344				J.Tannus	1998	10			Itirapina.		-22.426806	-48.370147	-48.370147	-22.426806													<nO>Arbusto. Flor amarela, vagens verdes.; Cerrado.</nO>	MAC0057118					
2023-01-13T12:23:01	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	25655	Plantae				Fabaceae	Abarema	langsdorfii		Abarema langsdorfii	(Benth.) Barneby & J.W.Grimes		1975	10	23	J.S.Silva	422				Barneby; Grim	1989	10			Cananéia	Ilha do Cardoso.	-25.016667	-48.544439	-48.544439	-25.016667													<nO>Árvore ca. de 13m de altura. Flores brancas.</nO>	MAC0025655					
2023-01-13T12:23:01	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	14742	Plantae				Fabaceae	Acacia	longifolia		Acacia longifolia	(Andrews) Willd.		1938	08	20	O.Handro	s.n.				J.F.Toledo					São Paulo	Jardim botânico de São Paulo.	-23.900003	-47.050003	-47.050003	-23.900003													<nO>Árvore; Planta Cultivada</nO>	MAC0014742					
2023-01-13T12:23:25	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	4914	Plantae				Fabaceae	Desmodium	platycarpum		Desmodium platycarpum	Benth.		1936	11	10	F.C.Hoehne; A.Gehrt	s.n.				O.Handro	1964	12			Iperó.		-23.608272	-48.154467	-48.154467	-23.608272													<nO>Arbusto. Flor roxa.</nO>	MAC0004914					
2023-01-13T12:23:11	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	57120	Plantae				Fabaceae	Cassia	ferruginea		Cassia ferruginea	(Schrad.) Schrad. ex DC.		1998	10	20	A.Furlan; O.Cesar; S.N.Pagano; A.G.Manzatto	556				J.P.Santos	2018	03	20		São Paulo	Clube SESC-Interlagos, Região Metropolitana de São	-23.934744	-47.060617	-47.060617	-23.934744													<nO>Mata Atlântica.</nO>	MAC0057120					
2023-01-13T12:22:56	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	23513	Plantae				Fabaceae							1983	10	22	T.Yano; O.Yano	46									Ibiuna	Ibiuna, Bairro Sorocabuçu, ca. de 80 Km da estrada	-24.083333	-47.366669	-47.366669	-24.083333													<nO>Arbusto ca. de 1,5 m de altura.; Mata secundária</nO>	MAC0023513					
2023-01-13T12:22:58	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	39600	Plantae				Fabaceae							2000	02	09	A.P.Prata; Y.Nagatami; J.G.Silva	785									Itararé	Estância Vale do Paraíso., 3 Km estrada da Faz. Sa	-24.183336	-49.566667	-49.566667	-24.183336													<nO>Flores amarelas.</nO>	MAC0039600					
2023-01-13T12:23:14	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	57112	Plantae				Fabaceae	Centrosema	sagittatum		Centrosema sagittatum	(Humb. & Bonpl. ex Willd.) Brandegee		1997	04	01	A.G.Manzatto; M.C.Guimarães	154				A.Furlan	1997	04	01		Brotas	Floresta decídua.	-22.485786	-49.394253	-49.394253	-22.485786													<nO>Liana. Herbácea com flores.</nO>	MAC0057112					
2023-01-13T12:23:15	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	10723	Plantae				Fabaceae	Chamaecrista	cathartica		Chamaecrista cathartica	(Mart.) H.S.Irwin & Barneby		1980	11	19	W.Mantovani	1354				W.Mantovani	1980	03			Mogi Guaçu	Reserva biológica da Faz. Campininha.	-23.041219	-47.960031	-47.960031	-23.041219													<nO>Erva com ca. de 0,3-0,4m de alt. Pétalas amarelas; Mata Atlântica</nO>	MAC0010723					
2023-01-13T12:23:15	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	10725	Plantae				Fabaceae	Chamaecrista	cathartica		Chamaecrista cathartica	(Mart.) H.S.Irwin & Barneby		1980	09	16	W.Mantovani	1022				W.Mantovani	1989	03			Mogi Guaçu	Reserva biológica da Faz. Campininha.	-23.041219	-47.960031	-47.960031	-23.041219													<nO>Erva com ca. de 0,3-0,5m de alt. Pétalas amarelas; Mata Atlântica</nO>	MAC0010725					
2023-01-13T12:23:15	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	1290	Plantae				Fabaceae	Chamaecrista	desvauxii		Chamaecrista desvauxii	(Collad.) Killip		1981	04	01	G.L.Esteves	776				M.R.Santos	2007	07	30		São Paulo	Parque Estadual das Fontes do Ipiranga.	-24.094592	-47.048611	-47.048611	-24.094592													<nO>Flores amarelas.; Mata Secundária.</nO>	MAC0001290					
2023-01-13T12:23:17	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	909	Plantae				Fabaceae	Chamaecrista	desvauxii		Chamaecrista desvauxii	(Collad.) Killip		1980	10	29	R.P.Lyra-Lemos	51				M.R.Santos	2007	07	30		São Paulo	Parque Estadual das Fontes do Ipiranga.	-23.934744	-47.060617	-47.060617	-23.934744													<nO>Arbusto com ca. de 1,5m de altura. Flores Amarelas Vargem verde.; Mata Secundária.</nO>	MAC0000909					
2023-03-31T11:41:15	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	10726	Plantae				Fabaceae	Chamaecrista	nictitans		Chamaecrista nictitans	(L.) Moench		1982	03	10	M.R.F.Melo	387				E.E.Souza	2023	01	24		Sete Quedas		-25.069922	-55.129275	-55.129275	-25.069922													<nO>Arbusto com ca. de 1m de alt. Flores amarelas, frutos verdes-arroxeados.</nO>	MAC0010726					
2023-01-13T12:23:21	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	4894	Plantae				Fabaceae	Collaea	stenophylla		Collaea stenophylla	(Hook. & Arn.) Benth.		1966	07	07	B.Teixeira	123					2021	12	07		Eldorado.		-24.873836	-49.100433	-49.100433	-24.873836													<nO>Terreno pantanoso ? beira do lago.</nO>	MAC0004894					
2023-01-13T12:23:21	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	4912	Plantae				Fabaceae	Cratylia	isopetala		Cratylia isopetala	(Lam.) L.P.Queiroz		1961	10	01	J.Mattos	8950									São Paulo	Alto da Serra, Sobre árvores isoladas.	-23.934744	-47.060617	-47.060617	-23.934744													<nO>Trepadeira. Flores vermelhas.</nO>	MAC0004912					
2023-01-13T12:23:21	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	4910	Plantae				Fabaceae	Crotalaria	pallida		Crotalaria pallida	Aiton		1935	04	24	?	s.n.									São Paulo	Jardim botânico de São Paulo.	-24.070817	-47.049158	-47.049158	-24.070817													<nO>Subarbusto.; Cultivada.</nO>	MAC0004910					
2023-01-13T12:23:34	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	1282	Plantae				Fabaceae	Inga	sessilis		Inga sessilis	(Vell.) Mart.		1981	03	25	G.L.Esteves	748				H.C.Lima; J.E.Meireles	2006				São Paulo	Parque Estadual das Fontes do Ipiranga.	-24.094592	-47.048611	-47.048611	-24.094592													<nO>Árvore. Flores brancas.; Mata Atlântica secundária.</nO>	MAC0001282					
2014-09-23T10:57:44	PreservedSpecimen	Brasil	São Paulo	G	G	G00439340	Plantae				Fabaceae	Eriosema	campestre	var. macrophyllum	Eriosema campestre var. macrophyllum	(Grear) Fortunato	ISOSYNTYPUS of Eriosema crinitum var. pulchellum Benth.	1839		00	Guillemin, J. B. A.	481				?				AMERIQUE DU SUD			-23.53277778	-46.63944444	-46.63944444	-23.53277778													<nO>Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site</nO>	G00439340					
2017-09-11T17:10:03	HumanObservation	Brasil	São Paulo	UnB	HBVIRTFLBRAS		Plantae				Fabaceae	Peltophorum	vogelianum		Peltophorum vogelianum	Benth.					Silva Manso, ALP	s.n.								Southern America		ad Rio Atibaia in prov. S. Paulo	0	0	0	0														P15P2N0020					
2017-09-11T17:10:03	HumanObservation	Brasil	São Paulo	UnB	HBVIRTFLBRAS		Plantae				Fabaceae	Piptadenia	communis		Piptadenia communis	Benth.		1827	03	16	Burchell, WJ	4626								Southern America	São Paulo	IBB/Morumbi, Morumbi to São Paulo - to Rio dos Pinheiros (a river starting in the southwest of the city, flowing north to the Tietê.	-23.583333	-46.7	-46.7	-23.583333			0	0										P15P2N0074					
2017-09-11T17:10:03	HumanObservation	Brasil	São Paulo	UnB	HBVIRTFLBRAS		Plantae				Fabaceae	Piptadenia	falcata		Piptadenia falcata	Benth.					?	s.n.								Southern America		ad Sorocaba	0	0	0	0																			
2017-09-11T17:10:03	HumanObservation	Brasil	São Paulo	UnB	HBVIRTFLBRAS		Plantae				Fabaceae	Piptadenia	falcata		Piptadenia falcata	Benth.		1827	07	27	Burchell, WJ	4835								Southern America	Tietê	IBB/Tietê, SP, between the Rio Tiete and the Rio Juquiri	-23.516667	-46.666667	-46.666667	-23.516667			0	0															
2017-09-11T17:10:03	HumanObservation	Brasil	São Paulo	UnB	HBVIRTFLBRAS		Plantae				Fabaceae	Piptadenia	falcata		Piptadenia falcata	Benth.					Regnell, AF	ser. III517								Southern America		ad Villa Batataes	0	0	0	0																			
2017-09-11T17:10:03	HumanObservation	Brasil	São Paulo	UnB	HBVIRTFLBRAS		Plantae				Fabaceae	Piptadenia	falcata		Piptadenia falcata	Benth.		1827	08	11	Burchell, WJ	5096								Southern America	Mogi Mirim	IBB/Mogi Mirim, SP, Restinga to Mogi Mirim	-22.433333	-46.95	-46.95	-22.433333			0	0															
2017-09-11T17:10:03	HumanObservation	Brasil	São Paulo	UnB	HBVIRTFLBRAS		Plantae				Fabaceae	Piptadenia	falcata		Piptadenia falcata	Benth.		1827	08	20	Burchell, WJ	5235								Southern America	Itupeva	IBB/Itupeva, SP, Orisanga to Itupeva	-23.2	-47.083333	-47.083333	-23.2			0	0															
2017-09-11T17:10:03	HumanObservation	Brasil	São Paulo	UnB	HBVIRTFLBRAS		Plantae				Fabaceae	Piptadenia	falcata		Piptadenia falcata	Benth.		1827	08	30	Burchell, WJ	5479								Southern America		Rio de Paciencia to Ribeirao de Veravinha	0	0	0	0			0	0															
2017-09-11T17:10:03	HumanObservation	Brasil	São Paulo	UnB	HBVIRTFLBRAS		Plantae				Fabaceae	Piptadenia	falcata		Piptadenia falcata	Benth.					Lund, PW	s.n.								Southern America		Franca	0	0	0	0																			
2017-09-11T17:10:03	HumanObservation	Brasil	São Paulo	UnB	HBVIRTFLBRAS		Plantae				Fabaceae	Piptadenia	laxa		Piptadenia laxa	Benth.		1826	09	16	Burchell, WJ	3049								Southern America	Santos	IBB/Santos, SP, In the forest close above the Benedictine Monastery at Santos	-24.6	-46.55	-46.55	-24.6			0	0										P15P2N0072					
